Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,3:33.76,Edward CHESEREK,02 FEB 1994,KEN,f1,,"Boston, MA (USA)",09 FEB 2018,1245
2,3:35.39,Ayanleh SOULEIMAN,03 DEC 1992,DJI,1,,Liévin (FRA),13 FEB 2018,1222
3,3:35.79,Abdelaati IGUIDER,25 MAR 1987,MAR,2,,Liévin (FRA),13 FEB 2018,1216
4,3:36.05,Samuel TEFERA,23 OCT 1999,ETH,1,,Val-de-Reuil (FRA),27 JAN 2018,1213
5,3:36.86,Vincent KIBET,06 MAY 1991,KEN,1,,"Leichtathletikhalle im Arena-Sportpark, Düsseldorf (GER)",06 FEB 2018,1201
6,3:36.87,Abdelaati IGUIDER,25 MAR 1987,MAR,2,,Val-de-Reuil (FRA),27 JAN 2018,1201
7,3:36.95,Brahim KAAZOUZI,15 JUN 1990,MAR,3,,Liévin (FRA),13 FEB 2018,1200
8,3:37.03,Chris O'HARE,23 NOV 1990,GBR,1,,"Reggie Lewis Center, Boston, MA (USA)",10 FEB 2018,1199
9,3:37.15,Brahim KAAZOUZI,15 JUN 1990,MAR,3,,Val-de-Reuil (FRA),27 JAN 2018,1197
10,3:37.41,Taresa TOLOSA,15 JUN 1998,ETH,1,,"Arena, Toruń (POL)",15 FEB 2018,1193
11,3:37.43,Jake WIGHTMAN,11 JUL 1994,GBR,2,,"Reggie Lewis Center, Boston, MA (USA)",10 FEB 2018,1193
12,3:37.63,Chris O'HARE,23 NOV 1990,GBR,f1,,"New York, NY (USA)",03 FEB 2018,1190
13,3:37.67,Marcin LEWANDOWSKI,13 JUN 1987,POL,2,,"Arena, Toruń (POL)",15 FEB 2018,1190
14,3:37.76,Bethwell BIRGEN,06 AUG 1988,KEN,1,,"Emirates Arena, Glasgow (GBR)",25 FEB 2018,1188
15,3:37.88,Vincent KIBET,06 MAY 1991,KEN,2,,"Emirates Arena, Glasgow (GBR)",25 FEB 2018,1187
16,3:37.91,Jakub HOLUŠA,20 FEB 1988,CZE,3,,"Arena, Toruń (POL)",15 FEB 2018,1186
17,3:38.00,Ryan GREGSON,26 APR 1990,AUS,3,,"Emirates Arena, Glasgow (GBR)",25 FEB 2018,1185
18,3:38.35,Aman WOTE,18 APR 1984,ETH,2,,"Leichtathletikhalle im Arena-Sportpark, Düsseldorf (GER)",06 FEB 2018,1180
19,3:38.47,Justus SOGET,22 OCT 1999,KEN,4,,Val-de-Reuil (FRA),27 JAN 2018,1178
19,3:38.47,Ayanleh SOULEIMAN,03 DEC 1992,DJI,1f1,,"Gallur, Madrid (ESP)",08 FEB 2018,1178
21,3:38.53,Craig ENGELS,01 MAY 1994,USA,f1,,"Boston, MA (USA)",09 FEB 2018,1177
22,3:39.05,Charlie DA'VALL GRICE,07 NOV 1993,GBR,4,,"Arena, Toruń (POL)",15 FEB 2018,1170
23,3:39.17,Brannon KIDDER,18 NOV 1993,USA,f1,,"Boston, MA (USA)",09 FEB 2018,1168
24,3:39.19,Ben BLANKENSHIP,15 DEC 1988,USA,f1,,"New York, NY (USA)",03 FEB 2018,1168
25,3:39.27,Valentin SMIRNOV,13 FEB 1986,ANA,1f4,,Moskva (RUS),14 FEB 2018,1167
26,3:39.45,Marc ALCALÁ,07 NOV 1994,ESP,1,,Sabadell (ESP),13 FEB 2018,1165
27,3:39.52,Vladimir NIKITIN,05 AUG 1992,RUS,2f4,,Moskva (RUS),14 FEB 2018,1164
28,3:39.54,Jakub HOLUŠA,20 FEB 1988,CZE,3,,"Leichtathletikhalle im Arena-Sportpark, Düsseldorf (GER)",06 FEB 2018,1163
29,3:39.55,Kalle BERGLUND,11 MAR 1996,SWE,4,,"Leichtathletikhalle im Arena-Sportpark, Düsseldorf (GER)",06 FEB 2018,1163
30,3:39.58,Josh KERR,08 OCT 1997,GBR,f1,,"New York, NY (USA)",03 FEB 2018,1163
31,3:39.68,Vincent KIBET,06 MAY 1991,KEN,2f1,,"Gallur, Madrid (ESP)",08 FEB 2018,1161
32,3:39.69,Taresa TOLOSA,15 JUN 1998,ETH,1f1,,Metz (FRA),11 FEB 2018,1161
33,3:39.79,Samuel TEFERA,23 OCT 1999,ETH,1,,Mondeville (FRA),03 FEB 2018,1160
34,3:39.80,Aman WOTE,18 APR 1984,ETH,3f1,,"Gallur, Madrid (ESP)",08 FEB 2018,1160
35,3:39.86,Kevin LÓPEZ,12 JUN 1990,ESP,2,,Sabadell (ESP),13 FEB 2018,1159
36,3:39.91,Mohammed Ayoub TIOUALI,26 MAY 1991,BRN,2f1,,Metz (FRA),11 FEB 2018,1158
37,3:39.92,Julian OAKLEY,23 JUN 1993,NZL,f1,,"Boston, MA (USA)",09 FEB 2018,1158
38,3:39.98,Filip SASÍNEK,08 JAN 1996,CZE,5,,"Arena, Toruń (POL)",15 FEB 2018,1157
39,3:40.11,Taresa TOLOSA,15 JUN 1998,ETH,4,,Liévin (FRA),13 FEB 2018,1155
40,3:40.13,Abdelaati IGUIDER,25 MAR 1987,MAR,1h1,,"Arena Birmingham, Birmingham (GBR)",03 MAR 2018,1155
41,3:40.20,Aman WOTE,18 APR 1984,ETH,2h1,,"Arena Birmingham, Birmingham (GBR)",03 MAR 2018,1154
42,3:40.23,Samir DAHMANI,03 APR 1991,FRA,5,,Liévin (FRA),13 FEB 2018,1154
42,3:40.23,Ben BLANKENSHIP,15 DEC 1988,USA,3h1,,"Arena Birmingham, Birmingham (GBR)",03 MAR 2018,1154
44,3:40.25,Valentin SMIRNOV,13 FEB 1986,ANA,1,,Volgograd (RUS),27 JAN 2018,1153
45,3:40.31,Jakob INGEBRIGTSEN,19 SEP 2000,NOR,6,,Liévin (FRA),13 FEB 2018,1153
46,3:40.42,Grzegorz KALINOWSKI,22 SEP 1990,POL,6,,"Arena, Toruń (POL)",15 FEB 2018,1151
47,3:40.43,Charlie DA'VALL GRICE,07 NOV 1993,GBR,f1,,"New York, NY (USA)",03 FEB 2018,1151
48,3:40.73,Tarik MOUKRIME,03 MAR 1992,BEL,4,,"Emirates Arena, Glasgow (GBR)",25 FEB 2018,1147
49,3:40.74,Marcin LEWANDOWSKI,13 JUN 1987,POL,1f1,,Gent (BEL),10 FEB 2018,1147
50,3:40.78,Marcin LEWANDOWSKI,13 JUN 1987,POL,4h1,,"Arena Birmingham, Birmingham (GBR)",03 MAR 2018,1146
51,3:40.92,Benjamin KIGEN,05 JUL 1993,KEN,5,,Val-de-Reuil (FRA),27 JAN 2018,1144
52,3:40.96,Jakob INGEBRIGTSEN,19 SEP 2000,NOR,2f1,,Gent (BEL),10 FEB 2018,1144
53,3:40.98,Filip SASÍNEK,08 JAN 1996,CZE,5,,"Leichtathletikhalle im Arena-Sportpark, Düsseldorf (GER)",06 FEB 2018,1143
54,3:41.03,Garrett HEATH,03 NOV 1985,USA,3,,"Reggie Lewis Center, Boston, MA (USA)",10 FEB 2018,1143
55,3:41.12,Simon DENISSEL,22 MAY 1990,FRA,7,,Liévin (FRA),13 FEB 2018,1141
56,3:41.29,Jesús GÓMEZ,24 APR 1991,ESP,3,,Sabadell (ESP),13 FEB 2018,1139
57,3:41.30,Drew PIAZZA,28 JAN 1995,USA,5,,"Emirates Arena, Glasgow (GBR)",25 FEB 2018,1139
58,3:41.31,Chala REGASA,30 APR 1997,ETH,2,,Mondeville (FRA),03 FEB 2018,1139
59,3:41.49,Charlie DA'VALL GRICE,07 NOV 1993,GBR,3f1,,Metz (FRA),11 FEB 2018,1136
60,3:41.50,Ignacio FONTES,22 JUN 1998,ESP,1f2,,"Gallur, Madrid (ESP)",08 FEB 2018,1136
61,3:41.53,Clemens BLEISTEIN,29 SEP 1990,GER,1,,"Kirchberg, Luxembourg (LUX)",03 FEB 2018,1136
61,3:41.53,Tarik MOUKRIME,03 MAR 1992,BEL,4f1,,Metz (FRA),11 FEB 2018,1136
63,3:41.57,Patrick CASEY,23 MAY 1990,USA,f2,,"New York, NY (USA)",03 FEB 2018,1135
64,3:41.62,Salim KEDDAR,23 NOV 1993,ALG,5f1,,Metz (FRA),11 FEB 2018,1134
65,3:41.64,Abdi WAISS,03 JUL 1996,DJI,4,,Sabadell (ESP),13 FEB 2018,1134
66,3:41.66,Eric AVILA,03 OCT 1989,USA,f2,,"New York, NY (USA)",03 FEB 2018,1134
67,3:41.68,Abdi WAISS,03 JUL 1996,DJI,4f1,,"Gallur, Madrid (ESP)",08 FEB 2018,1134
68,3:41.72,Nick WILLIS,25 APR 1983,NZL,f1,,"New York, NY (USA)",03 FEB 2018,1133
69,3:41.74,Amos BARTELSMEYER,25 JUL 1994,USA,f1,,"Boston, MA (USA)",09 FEB 2018,1133
70,3:41.76,Kyle MERBER,19 NOV 1990,USA,f1,,"New York, NY (USA)",03 FEB 2018,1132
71,3:41.78,Tom MARSHALL,12 JUN 1989,GBR,6,,"Emirates Arena, Glasgow (GBR)",25 FEB 2018,1132
72,3:41.83,Jakub HOLUŠA,20 FEB 1988,CZE,7,,"Emirates Arena, Glasgow (GBR)",25 FEB 2018,1131
73,3:41.85,Samir DAHMANI,03 APR 1991,FRA,6,,Val-de-Reuil (FRA),27 JAN 2018,1131
74,3:41.87,Seán TOBIN,20 JUL 1994,IRL,f2,,"New York, NY (USA)",03 FEB 2018,1131
75,3:41.88,Corey BELLEMORE,01 DEC 1994,CAN,f2,,"New York, NY (USA)",03 FEB 2018,1131
76,3:41.93,Hillary Cheruiyot NGETICH,15 SEP 1995,KEN,5f1,,"Gallur, Madrid (ESP)",08 FEB 2018,1130
77,3:41.94,Alberto IMEDIO,24 MAY 1991,ESP,5,,Sabadell (ESP),13 FEB 2018,1130
78,3:41.98,Charles PHILIBERT-THIBOUTOT,31 DEC 1990,CAN,f1,,"New York, NY (USA)",03 FEB 2018,1129
79,3:41.99,Rabii DOUKKANA,06 DEC 1987,FRA,1,,Reims (FRA),31 JAN 2018,1129
80,3:42.05,Marc ALCALÁ,07 NOV 1994,ESP,6f1,,"Gallur, Madrid (ESP)",08 FEB 2018,1128
81,3:42.19,Jakub HOLUŠA,20 FEB 1988,CZE,6f1,,Metz (FRA),11 FEB 2018,1127
82,3:42.22,Salim KEDDAR,23 NOV 1993,ALG,2,,Reims (FRA),31 JAN 2018,1126
83,3:42.24,Konstantin PLOKHOTNIKOV,24 MAR 1997,RUS,2,,Volgograd (RUS),27 JAN 2018,1126
84,3:42.26,Michael WILSMORE,08 JUN 1985,GBR,8,,"Emirates Arena, Glasgow (GBR)",25 FEB 2018,1126
85,3:42.35,Grzegorz KALINOWSKI,22 SEP 1990,POL,9,,"Emirates Arena, Glasgow (GBR)",25 FEB 2018,1124
86,3:42.40,Garrett HEATH,03 NOV 1985,USA,10,,"Emirates Arena, Glasgow (GBR)",25 FEB 2018,1124
87,3:42.41,Aleksey KHARITONOV,04 JUL 1991,RUS,3,,Volgograd (RUS),27 JAN 2018,1123
88,3:42.43,Hillary Cheruiyot NGETICH,15 SEP 1995,KEN,8,,Liévin (FRA),13 FEB 2018,1123
89,3:42.45,Roman KWIATKOWSKI,19 MAY 1995,POL,7,,"Arena, Toruń (POL)",15 FEB 2018,1123
90,3:42.46,Chris O'HARE,23 NOV 1990,GBR,5h1,,"Arena Birmingham, Birmingham (GBR)",03 MAR 2018,1123
91,3:42.53,Mohad ABDIKADAR SHEIK ALI,12 JUN 1993,ITA,3f1,,Gent (BEL),10 FEB 2018,1122
92,3:42.64,Fouad EL KAAM,27 MAY 1988,MAR,7,,Val-de-Reuil (FRA),27 JAN 2018,1120
93,3:42.65,Alberto IMEDIO,24 MAY 1991,ESP,7f1,,"Gallur, Madrid (ESP)",08 FEB 2018,1120
93,3:42.65,Yegor NIKOLAYEV,28 APR 1988,RUS,3f4,,Moskva (RUS),14 FEB 2018,1120
95,3:42.66,Carlos Martín DÍAZ DEL RIO,09 JUL 1993,CHI,2f2,,"Gallur, Madrid (ESP)",08 FEB 2018,1120
96,3:42.75,Jakob INGEBRIGTSEN,19 SEP 2000,NOR,1f3,,Bærum (NOR),03 FEB 2018,1119
97,3:42.76,Salim KEDDAR,23 NOV 1993,ALG,8,,Val-de-Reuil (FRA),27 JAN 2018,1119
98,3:42.77,Martin MARTINEZ,06 MAY 1995,USA,f1,,"Boston, MA (USA)",09 FEB 2018,1119
99,3:42.91,Paul CHELIMO,27 OCT 1990,USA,1,,"Albuquerque, NM (USA)",18 FEB 2018,1117
100,3:42.96,Rob NAPOLITANO,03 NOV 1994,USA,f2,,"New York, NY (USA)",03 FEB 2018,1116
101,3:42.99,Nikolay GORIN,03 JAN 1995,RUS,4,,Volgograd (RUS),27 JAN 2018,1116
102,3:43.00,Grzegorz KALINOWSKI,22 SEP 1990,POL,3,,Reims (FRA),31 JAN 2018,1115
