Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,3:58.40,,Abeba AREGAWI,05 JUL 1990,SWE,1,,"Globe Arena, Stockholm (SWE) (i)",21 FEB 2013,1241
2,4:00.83,,Genzebe DIBABA,08 FEB 1991,ETH,1,,"National Indoor Arena, Birmingham (GBR) (i)",16 FEB 2013,1221
3,4:07.99,,Siham HILALI,02 MAY 1986,MAR,2,,"National Indoor Arena, Birmingham (GBR) (i)",16 FEB 2013,1163
4,4:09.11,,Axumawit EMBAYE,18 OCT 1994,ETH,2,,"Globe Arena, Stockholm (SWE) (i)",21 FEB 2013,1155
5,4:09.36,,Rababe ARAFI,12 JAN 1991,MAR,3,,"Globe Arena, Stockholm (SWE) (i)",21 FEB 2013,1153
6,4:09.72,,Luiza GEGA,05 NOV 1988,ALB,1,,Tirana (ALB) (i),08 FEB 2013,1150
7,4:09.86,,Natalia RODRÍGUEZ,02 JUN 1979,ESP,1,,Düsseldorf (GER) (i),08 FEB 2013,1149
8,4:09.95,,Anna SHCHAGINA,07 DEC 1991,RUS,1f2,,Moskva (RUS) (i),25 JAN 2013,1148
9,4:10.28,,Yelena KOROBKINA,25 NOV 1990,RUS,1f3,,Moskva (RUS) (i),14 FEB 2013,1145
10,4:10.76,,Danuta URBANIK,24 DEC 1989,POL,1,,Spala (POL) (i),17 FEB 2013,1141
11,4:10.94,,Isabel MACÍAS,11 AUG 1984,ESP,2,,Gent (BEL) (i),10 FEB 2013,1140
12,4:10.96,,Elina SUJEW,02 NOV 1990,GER,3,,"National Indoor Arena, Birmingham (GBR) (i)",16 FEB 2013,1140
13,4:11.02,,Yelena SOBOLEVA,03 OCT 1982,RUS,3f3,,Moskva (RUS) (i),14 FEB 2013,1139
14,4:11.26,,Diana SUJEW,02 NOV 1990,GER,4,,"National Indoor Arena, Birmingham (GBR) (i)",16 FEB 2013,1138
15,4:11.36,,Almenesh BELETE,26 JUL 1989,BEL,3,,Gent (BEL) (i),10 FEB 2013,1137
16,4:11.47,,Marina POSPELOVA,23 JUL 1990,RUS,4f3,,Moskva (RUS) (i),14 FEB 2013,1136
17,4:11.59,,Katarzyna BRONIATOWSKA,22 FEB 1990,POL,4,,Gent (BEL) (i),10 FEB 2013,1135
18,4:11.79,,Angelika CICHOCKA,15 MAR 1988,POL,2,,"Messehalle, Karlsruhe (GER) (i)",02 FEB 2013,1133
19,4:12.09,,Treniere MOSER,27 OCT 1981,USA,4,,"Globe Arena, Stockholm (SWE) (i)",21 FEB 2013,1131
20,4:12.11,,Ibtissam LAKHOUAD,07 DEC 1980,MAR,3,,Düsseldorf (GER) (i),08 FEB 2013,1131
21,4:12.16,,Mimi BELETE,09 JUN 1988,BRN,5,,"Globe Arena, Stockholm (SWE) (i)",21 FEB 2013,1130
22,4:12.29,,Kate GRACE,24 OCT 1988,USA,f,,"New York, NY (USA) (i)",16 FEB 2013,1129
23,4:12.30,,Anna KONOVALOVA,04 JUL 1988,RUS,5f3,,Moskva (RUS) (i),14 FEB 2013,1129
24,4:12.31,,Emma COBURN,19 OCT 1990,USA,,,"New York, NY (USA) (i)",16 FEB 2013,1129
25,4:12.36,,Laura MUIR,09 MAY 1993,GBR,2h1,,"Scandinavium, Göteborg (SWE) (i)",01 MAR 2013,1129
26,4:12.44,,Margherita MAGNANI,26 FEB 1987,ITA,5,,Gent (BEL) (i),10 FEB 2013,1128
27,4:12.48,,Maruša MIŠMAŠ,24 OCT 1994,SLO,2,,Wien (AUT) (i),29 JAN 2013,1128
28,4:13.16,,Claire TARPLEE,22 SEP 1988,IRL,6,,"Globe Arena, Stockholm (SWE) (i)",21 FEB 2013,1123
29,4:13.26,,Annett HORNA,04 FEB 1987,GER,1,,Dortmund (GER) (i),24 FEB 2013,1122
30,4:13.49,,Sara MOREIRA,17 OCT 1985,POR,1,,Pombal (POR) (i),16 FEB 2013,1120
31,4:13.80,,Giulia VIOLA,24 APR 1991,ITA,4h1,,"Scandinavium, Göteborg (SWE) (i)",01 MAR 2013,1118
32,4:13.96,,Fionnula BRITTON,24 SEP 1984,IRL,1,,Athlone (IRL) (i),17 FEB 2013,1116
33,4:14.53,,Rose-Anne GALLIGAN,09 DEC 1987,IRL,3,,Wien (AUT) (i),29 JAN 2013,1112
34,4:14.70,,Hannah ENGLAND,06 MAR 1987,GBR,6,,"National Indoor Arena, Birmingham (GBR) (i)",16 FEB 2013,1111
35,4:15.09,,Yelena KOBELEVA,12 JUN 1988,RUS,1f2,,Moskva (RUS) (i),14 FEB 2013,1108
36,4:15.10,,Poļina JEĻIZAROVA,01 MAY 1989,LAT,5h1,,"Scandinavium, Göteborg (SWE) (i)",01 MAR 2013,1107
37,4:15.55,,Darya YACHMENYOVA,09 SEP 1990,RUS,2f2,,Moskva (RUS) (i),14 FEB 2013,1104
38,4:15.60,,Anna ROSTKOWSKA,26 JUL 1980,POL,7,,Gent (BEL) (i),10 FEB 2013,1104
39,4:15.89,,Tatyana VINOGRADOVA,09 DEC 1988,RUS,3f2,,Moskva (RUS) (i),14 FEB 2013,1101
40,4:16.12,,Charlotte SCHÖNBECK,22 DEC 1984,SWE,8,,"Globe Arena, Stockholm (SWE) (i)",21 FEB 2013,1100
41,4:16.29,,Galina YEVSIKOVA,20 JUL 1990,RUS,4f2,,Moskva (RUS) (i),14 FEB 2013,1098
42,4:16.36,,Kerry O’FLAHERTY,15 JUL 1981,IRL,2,,Athlone (IRL) (i),17 FEB 2013,1098
42,4:16.36,,Silvia DANEKOVA,07 FEB 1983,BUL,2,,Istanbul (TUR) (i),23 FEB 2013,1098
44,4:16.47,,Sandra MICHALAK,01 APR 1987,POL,2,,Spala (POL) (i),17 FEB 2013,1097
45,4:16.48,,Laura CROWE,05 SEP 1987,IRL,3,,Athlone (IRL) (i),17 FEB 2013,1097
46,4:16.53,,Rosie CLARKE,17 NOV 1991,GBR,8,,"National Indoor Arena, Birmingham (GBR) (i)",16 FEB 2013,1096
