Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,5:47.51,Anastasiya ALEKSANDROVA,16 FEB 1994,RUS,1,,Yekaterinburg (RUS),07 JAN 2019,1121
2,5:47.52,Yelena KOROBKINA,25 NOV 1990,RUS,2,,Yekaterinburg (RUS),07 JAN 2019,1121
3,5:56.05,Anna KNYAZEVA,20 MAR 1989,RUS,3,,Yekaterinburg (RUS),07 JAN 2019,1075
4,5:56.07,Yekaterina ISHOVA,17 JAN 1989,RUS,4,,Yekaterinburg (RUS),07 JAN 2019,1074
5,5:56.55,Anna TROPINA,03 NOV 1998,RUS,5,,Yekaterinburg (RUS),07 JAN 2019,1072
6,5:59.49,Svetlana SIMAKOVA,12 JUN 1987,RUS,6,,Yekaterinburg (RUS),07 JAN 2019,1056
7,6:05.88,Magdalena KRAWCZYK,24 OCT 1992,POL,1,,Ostrava (CZE),26 JAN 2019,1022
8,6:05.96,Anzhelika SHEVCHENKO,29 OCT 1987,UKR,7,,Yekaterinburg (RUS),07 JAN 2019,1021
9,6:06.22,Olimpia BREZA,14 FEB 2002,POL,1f2,,Toruń (POL),10 FEB 2019,1020
10,6:07.58,Liliya MENDAYEVA,01 JUN 2000,RUS,8,,Yekaterinburg (RUS),07 JAN 2019,1013
11,6:09.47,Olimpia BREZA,14 FEB 2002,POL,1,,Toruń (POL),27 JAN 2019,1003
12,6:13.70,Sylwia INDEKA,19 JUN 1997,POL,2,,Ostrava (CZE),26 JAN 2019,981
13,6:14.87,Natalya GRIGORYEVA,08 DEC 1991,RUS,9,,Yekaterinburg (RUS),07 JAN 2019,975
14,6:15.69,Milena PYKA,27 FEB 2000,POL,1,,Ostrava (CZE),26 JAN 2019,971
15,6:16.91,Julia KORALEWSKA,17 FEB 2002,POL,2f2,,Toruń (POL),10 FEB 2019,964
16,6:18.99,Galina BUBNOVA,10 DEC 1993,RUS,10,,Yekaterinburg (RUS),07 JAN 2019,954
17,6:19.89,Julia PĘTLICKA,02 JAN 2002,POL,3f2,,Toruń (POL),10 FEB 2019,949
18,6:22.50,Katarzyna GAŁA,17 JUL 2000,POL,2,,Ostrava (CZE),26 JAN 2019,936
19,6:23.24,Małgorzata KARPIUK,04 JAN 2003,POL,4f2,,Toruń (POL),10 FEB 2019,932
20,6:24.04,Julia KORALEWSKA,17 FEB 2002,POL,2,,Toruń (POL),27 JAN 2019,928
21,6:25.73,Anna SZYJKA,20 OCT 1998,POL,3,,Ostrava (CZE),26 JAN 2019,919
22,6:26.15,Wiktoria KLĘBOWSKA,20 JAN 2000,POL,1f1,,Toruń (POL),02 FEB 2019,917
23,6:26.34,Zuzanna LATAŃSKA,04 AUG 2001,POL,3,,Toruń (POL),27 JAN 2019,916
24,6:27.15,Julia PĘTLICKA,02 JAN 2002,POL,1,,Toruń (POL),13 JAN 2019,912
25,6:28.86,Agnieszka LUBOWSKA,12 OCT 2002,POL,5f2,,Toruń (POL),10 FEB 2019,904
26,6:29.81,Monika DUBIELLA,02 MAY 2000,POL,4,,Toruń (POL),27 JAN 2019,899
