Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,7:58.41,,Jairus Kipchoge BIRECH,14 DEC 1992,KEN,1,,"Boudewijnstadion, Bruxelles (BEL)",05 SEP 2014,1265
2,8:03.23,,Mahiedine MEKHISSI,15 MAR 1985,FRA,2,,"Boudewijnstadion, Bruxelles (BEL)",05 SEP 2014,1243
3,8:04.12,,Ezekiel KEMBOI,25 MAY 1982,KEN,1,,"Suhaim bin Hamad Stadium, Doha (QAT)",09 MAY 2014,1239
4,8:04.64,,Brimin Kiprop KIPRUTO,31 JUL 1985,KEN,2,,"Suhaim bin Hamad Stadium, Doha (QAT)",09 MAY 2014,1237
5,8:04.71,,Evan JAGER,08 MAR 1989,USA,3,,"Boudewijnstadion, Bruxelles (BEL)",05 SEP 2014,1236
6,8:05.47,,Paul Kipsiele KOECH,10 NOV 1981,KEN,3,,"Suhaim bin Hamad Stadium, Doha (QAT)",09 MAY 2014,1233
7,8:09.07,,Hillary Kipsang YEGO,02 APR 1992,KEN,5,,"Suhaim bin Hamad Stadium, Doha (QAT)",09 MAY 2014,1216
8,8:09.81,,Conseslus KIPRUTO,08 DEC 1994,KEN,2,,"Stade Louis II, Monaco (MON)",18 JUL 2014,1213
9,8:10.44,,Jonathan Muia NDIKU,18 SEP 1991,KEN,1,,"Hampden Park, Glasgow (GBR)",01 AUG 2014,1210
10,8:11.86,,Gilbert KIRUI,22 JAN 1994,KEN,6,,"Suhaim bin Hamad Stadium, Doha (QAT)",09 MAY 2014,1203
11,8:12.81,,Matthew HUGHES,03 AUG 1989,CAN,4,,"Stade Louis II, Monaco (MON)",18 JUL 2014,1199
12,8:14.33,,Hamid EZZINE,05 OCT 1983,MAR,2,,Sotteville-lès-Rouen (FRA),14 JUN 2014,1192
13,8:15.01,,Bernard NGANGA,17 JAN 1985,KEN,5,,"Stade Louis II, Monaco (MON)",18 JUL 2014,1189
14,8:15.48,,Brahim TALEB,16 FEB 1985,MAR,6,,"Bislett Stadion, Oslo (NOR)",11 JUN 2014,1187
15,8:15.61,,Daniel HULING,16 JUL 1983,USA,4,,"Boudewijnstadion, Bruxelles (BEL)",05 SEP 2014,1186
16,8:15.83,,Abel Kiprop MUTAI,02 OCT 1988,KEN,4,,"Stadio Olimpico, Roma (ITA)",05 JUN 2014,1185
17,8:16.20,,Krystian ZALEWSKI,11 APR 1989,POL,5,,"Stadio Olimpico, Roma (ITA)",05 JUN 2014,1184
18,8:16.96,,Clement Kimutai KEMBOI,10 FEB 1992,KEN,6,,"Stadio Olimpico, Roma (ITA)",05 JUN 2014,1180
19,8:17.03,,Barnabas KIPYEGO,12 JUN 1995,KEN,3,,"Alexander Stadium, Birmingham (GBR)",24 AUG 2014,1180
20,8:17.27,,Abubaker Ali KAMAL,08 NOV 1983,QAT,3,,"Le Grand Stade, Marrakech (MAR)",14 SEP 2014,1179
21,8:17.40,,Víctor GARCÍA,13 MAR 1985,ESP,7,,"Stadio Olimpico, Roma (ITA)",05 JUN 2014,1178
22,8:18.31,,Sebastián MARTOS,20 JUN 1989,ESP,2,,Huelva (ESP),12 JUN 2014,1174
23,8:19.00,,Haron LAGAT,15 AUG 1983,KEN,6,,"Alexander Stadium, Birmingham (GBR)",24 AUG 2014,1171
24,8:19.59,,Lawrence Kemboi KIPSANG,15 JUN 1993,KEN,1,,"Sports Park Mladost, Zagreb (CRO)",02 SEP 2014,1168
25,8:19.99,,John KOECH,23 AUG 1995,BRN,2,,Bydgoszcz (POL),02 JUN 2014,1167
26,8:20.04,,Donald CABRAL,12 DEC 1989,USA,3,,"Sacramento, CA (USA)",29 JUN 2014,1166
27,8:20.29,,Ilgizar SAFIULIN,09 DEC 1992,RUS,7,,"Boudewijnstadion, Bruxelles (BEL)",05 SEP 2014,1165
28,8:20.84,,Jacob ARAPTANY,11 FEB 1992,UGA,1,,Tokyo (JPN),11 MAY 2014,1163
29,8:20.87,,Mitko TSENOV,13 JUN 1993,BUL,4,,Huelva (ESP),12 JUN 2014,1163
30,8:20.92,,Jaouad CHEMLAL,11 APR 1994,MAR,11,,"Stadio Olimpico, Roma (ITA)",05 JUN 2014,1162
31,8:21.78,,Marvin BLANCO,16 JUN 1988,VEN,5,,Huelva (ESP),12 JUN 2014,1159
32,8:22.26,,Hillary Cheserek KEMBOI,1986,KEN,1,,Bilbao (ESP),21 JUN 2014,1156
33,8:22.38,,Mateusz DEMCZYSZAK,18 JAN 1986,POL,12,,"Stadio Olimpico, Roma (ITA)",05 JUN 2014,1156
34,8:22.46,,Titus KIBIEGO,03 MAY 1996,KEN,1,,Nairobi (KEN),25 JUN 2014,1156
35,8:22.76,,James WILKINSON,13 JUL 1990,GBR,6,,Huelva (ESP),12 JUN 2014,1154
36,8:24.09,,Craig FORYS,13 JUL 1989,USA,5,,Luzern (SUI),15 JUL 2014,1148
