Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,9:15.04,,Dorcus INZIKURU,02 FEB 1982,UGA,1,,"Olympic Stadium, Athina (GRE)",14 JUN 2005,1206
2,9:20.49,,Yekaterina VOLKOVA,16 FEB 1978,RUS,2,,"Olympiastadion, Helsinki (FIN)",08 AUG 2005,1192
3,9:25.09,,Wioletta FRANKIEWICZ,09 JUN 1977,POL,2,,"Olympic Stadium, Athina (GRE)",14 JUN 2005,1181
4,9:26.95,,Jeruto KIPTUM,12 DEC 1981,KEN,3,,"Olympiastadion, Helsinki (FIN)",08 AUG 2005,1176
5,9:27.21,,Mardrea HYMAN,22 DEC 1972,JAM,3,,"Stade Louis II, Monaco (MON)",09 SEP 2005,1175
6,9:30.12,,Korene HINDS,18 JAN 1976,JAM,3,,Rieti (ITA),28 AUG 2005,1168
7,9:30.20,,Lívia TÓTH,07 JAN 1980,HUN,4,,"Stade Louis II, Monaco (MON)",09 SEP 2005,1168
8,9:31.44,,Salome CHEPCHUMBA,29 SEP 1982,KEN,3,,"Olympic Stadium, Athina (GRE)",14 JUN 2005,1165
9,9:32.41,,Yelena ZADOROZHNAYA,03 DEC 1977,RUS,5,,"Stade Louis II, Monaco (MON)",09 SEP 2005,1163
10,9:35.51,,Natalya IZMODENOVA,1981,RUS,5,,"Olympic Stadium, Athina (GRE)",14 JUN 2005,1155
11,9:35.95,,Cristina CASANDRA,01 FEB 1977,ROU,1,,"Stadio Luigi Ridolfi, Firenze (ITA)",17 JUN 2005,1154
12,9:38.31,,Fatiha BAHI AZZOUHOUM,08 MAR 1983,ALG,6,,"Olympic Stadium, Athina (GRE)",14 JUN 2005,1148
13,9:39.20,,Inês MONTEIRO,18 MAY 1980,POR,7,,"Olympic Stadium, Athina (GRE)",14 JUN 2005,1146
14,9:39.68,,Carrie MESSNER-VICKERS,07 JUN 1977,USA,3h2,,"Olympiastadion, Helsinki (FIN)",06 AUG 2005,1145
15,9:39.78,,Elizabeth JACKSON,27 OCT 1977,USA,1,,"Carson, CA (USA)",26 JUN 2005,1144
16,9:40.47,,Élodie OLIVARÈS,22 MAY 1976,FRA,1,,Paris (FRA),13 JUL 2005,1143
17,9:40.58,,Lisa AGUILERA,30 NOV 1979,USA,2,,"Carson, CA (USA)",26 JUN 2005,1142
18,9:41.21,,Minori HAYAKARI,29 NOV 1972,JPN,4h1,,"Olympiastadion, Helsinki (FIN)",06 AUG 2005,1141
19,9:41.82,,Bouchra CHAABI,22 SEP 1980,MAR,5h1,,"Olympiastadion, Helsinki (FIN)",06 AUG 2005,1139
20,9:42.18,,Yamina BOUCHAOUANTE,31 JUL 1980,FRA,5h3,,"Olympiastadion, Helsinki (FIN)",06 AUG 2005,1138
21,9:42.70,,Yelena ORLOVA,30 MAY 1980,RUS,1,,Thessaloniki (GRE),17 JUL 2005,1137
22,9:45.7h,,Jackline Chemwok RIONOROPO,13 SEP 1983,KEN,1,,Nairobi (KEN),25 JUN 2005,1130
23,9:45.91,,Briana SHOOK,06 JAN 1981,USA,4,,"Carson, CA (USA)",26 JUN 2005,1129
24,9:46.12,,Róisín MCGETTIGAN,23 AUG 1980,IRL,9,,"Stade Louis II, Monaco (MON)",09 SEP 2005,1129
25,9:46.63,,Lyubov KHARLAMOVA,02 MAR 1981,RUS,2,,"Stadio Luigi Ridolfi, Firenze (ITA)",17 JUN 2005,1128
26,9:47.2h,,Jackline CHEMUTAI,13 SEP 1983,KEN,2,,Nairobi (KEN),18 JUN 2005,1126
27,9:47.47,,Rasa MICHNIOVAITĖ-TROUP,01 MAR 1977,LTU,5h2,,"Olympiastadion, Helsinki (FIN)",06 AUG 2005,1125
28,9:47.54,,Victoria MITCHELL,25 APR 1982,AUS,2,,Izmir (TUR),17 AUG 2005,1125
29,9:47.9h,,Clarisse CRUZ,09 JUL 1978,POR,2,,Leiria (POR),19 JUN 2005,1124
30,9:48.57,,Tina BROWN,22 AUG 1976,GBR,8,,Rieti (ITA),28 AUG 2005,1123
31,9:48.65,,Stephanie DE CROOCK,04 MAR 1979,BEL,1,,Ninove (BEL),30 JUL 2005,1123
32,9:48.85,,Ida NILSSON,08 FEB 1981,SWE,2,,Gävle (SWE),18 JUN 2005,1122
33,9:49.50,,Ann GAFFIGAN,05 OCT 1981,USA,3,,Thessaloniki (GRE),17 JUL 2005,1121
34,9:49.73,,Valentyna HORPYNYCH,12 MAR 1983,UKR,1,,Kyiv (UKR),02 JUL 2005,1120
35,9:50.10,,Joanna ANKIER,05 AUG 1982,GBR,4,,Naimette-Xhovémont (BEL),20 JUL 2005,1119
36,9:50.21,,Svetlana IVANOVA,18 AUG 1983,RUS,1,,Tula (RUS),14 JUN 2005,1119
