Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,7:28.73,,Ronald KWEMOI,19 SEP 1995,KEN,1,,"Suhaim bin Hamad Stadium, Doha (QAT)",05 MAY 2017,1247
2,7:31.57,,Paul CHELIMO,27 OCT 1990,USA,2,,"Suhaim bin Hamad Stadium, Doha (QAT)",05 MAY 2017,1229
3,7:32.27,,Yomif KEJELCHA,01 AUG 1997,ETH,3,,"Suhaim bin Hamad Stadium, Doha (QAT)",05 MAY 2017,1225
4,7:32.31,,Muktar EDRIS,14 JAN 1994,ETH,1,,"Stade Charléty, Paris (FRA)",01 JUL 2017,1224
5,7:33.36,,Caleb Mwangangi NDIKU,09 OCT 1992,KEN,4,,"Suhaim bin Hamad Stadium, Doha (QAT)",05 MAY 2017,1218
6,7:34.96,,Joshua CHEPTEGEI,12 SEP 1996,UGA,4,,"Stade Charléty, Paris (FRA)",01 JUL 2017,1208
7,7:35.15,,Mo FARAH,23 MAR 1983,GBR,1,,"Olympic Stadium, London (GBR)",09 JUL 2017,1207
8,7:35.28,,Adel MECHAAL,05 DEC 1990,ESP,5,,"Stade Charléty, Paris (FRA)",01 JUL 2017,1206
9,7:35.53,,Ben TRUE,29 DEC 1985,USA,6,,"Stade Charléty, Paris (FRA)",01 JUL 2017,1204
10,7:37.56,,Andrew BUTCHART,14 OCT 1991,GBR,3,,"Olympic Stadium, London (GBR)",09 JUL 2017,1192
11,7:37.76,,Patrick TIERNAN,11 SEP 1994,AUS,4,,"Olympic Stadium, London (GBR)",09 JUL 2017,1190
12,7:37.82,,Abdelaati IGUIDER,25 MAR 1987,MAR,1,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",16 JUL 2017,1190
13,7:38.30,,Albert ROP,17 JUL 1992,BRN,5,,"Suhaim bin Hamad Stadium, Doha (QAT)",05 MAY 2017,1187
14,7:38.33,,Davis KIPLANGAT,10 JUL 1998,KEN,5,,"Olympic Stadium, London (GBR)",09 JUL 2017,1187
15,7:38.50,,Frank NGELEL,02 MAR 1992,KEN,6,,"Olympic Stadium, London (GBR)",09 JUL 2017,1186
16,7:38.51,,Hassan MEAD,28 AUG 1989,USA,7,,"Olympic Stadium, London (GBR)",09 JUL 2017,1186
17,7:38.65,,Soufiyan BOUQANTAR,30 AUG 1993,MAR,3,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",16 JUL 2017,1185
18,7:38.90,,Andrew BAYER,03 FEB 1990,USA,8,,"Olympic Stadium, London (GBR)",09 JUL 2017,1183
18,7:38.90,,Selemon BAREGA,20 JAN 2000,ETH,1,,"Sports Park Mladost, Zagreb (CRO)",29 AUG 2017,1183
