Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,44.49,,Christopher MORALES-WILLIAMS,05 AUG 2004,CAN,1f2,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",24 FEB 2024,1279
2,44.91,,Auhmad ROBINSON,04 JUN 2001,USA,2f1,,"The Track at New Balance, Boston, MA (USA) (i)",07 MAR 2024,1249
3,45.02,,Khaleb MCRAE,10 SEP 2000,USA,1f1,,"Convention Center, Albuquerque, NM (USA) (i)",03 FEB 2024,1241
4,45.18,,Eugene OMALLA,05 OCT 2000,UGA,1h2,,"Sports Performance Center, Lubbock, TX (USA) (i)",23 FEB 2024,1230
5,45.23,,Brian HERRON,24 NOV 2000,USA,2h2,,"Sports Performance Center, Lubbock, TX (USA) (i)",23 FEB 2024,1227
6,45.24,,William JONES,03 OCT 2003,USA,1f11,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",27 JAN 2024,1226
7,45.25,,Alexander DOOM,25 APR 1997,BEL,1,,"Glasgow Arena, Glasgow (GBR) (i)",02 MAR 2024,1225
8,45.30,,Justin ROBINSON,30 MAR 2002,USA,1f16,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",09 FEB 2024,1222
9,45.34,,Karsten WARHOLM,28 FEB 1996,NOR,2,,"Glasgow Arena, Glasgow (GBR) (i)",02 MAR 2024,1219
10,45.35,,Jevaughn POWELL,19 NOV 2000,JAM,1h9,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",23 FEB 2024,1218
11,45.45,,Emmanuel BYNUM,01 OCT 2000,USA,1f1,,"Convention Center, Albuquerque, NM (USA) (i)",02 FEB 2024,1212
12,45.46,,Michael JOSEPH,01 NOV 2002,LCA,1f1,,"Sports Performance Center, Lubbock, TX (USA) (i)",24 FEB 2024,1211
13,45.47,,Matthew BOLING,20 JUN 2000,USA,1f1,,"Clemson Indoor Track & Field Complex, Clemson, SC (USA) (i)",09 FEB 2024,1210
