Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,13:41.08,,Nicodemus NAIMADU,24 APR 1984,KEN,1,,"Fayetteville, AR (USA) (i)",12 FEB 2005,1110
2,13:41.42,,Stephen HAAS,18 APR 1983,USA,2,,"Fayetteville, AR (USA) (i)",12 FEB 2005,1109
3,13:42.67,,Peter KOSGEI,03 FEB 1983,KEN,3,,"Fayetteville, AR (USA) (i)",12 FEB 2005,1105
4,13:43.36,,Ian DOBSON,06 FEB 1982,USA,1,,"Fayetteville, AR (USA) (i)",11 MAR 2005,1102
5,13:44.51,,Robert CHESERET,08 OCT 1983,KEN,2,,"Fayetteville, AR (USA) (i)",11 MAR 2005,1098
6,13:45.34,,Chris SOLINSKY,05 DEC 1984,USA,3,,"Fayetteville, AR (USA) (i)",11 MAR 2005,1095
7,13:45.72,,Matt GONZALES,19 OCT 1981,USA,4,,"Fayetteville, AR (USA) (i)",11 MAR 2005,1094
8,13:46.13,,Matt TEGENKAMP,19 JAN 1982,USA,5,,"Fayetteville, AR (USA) (i)",11 MAR 2005,1092
9,13:47.99,,Josphat BOIT,28 DEC 1982,KEN,6,,"Fayetteville, AR (USA) (i)",11 MAR 2005,1086
10,13:49.14,,Celedonio RODRIGUEZ,10 NOV 1980,USA,1,,"Boston, MA (USA) (i)",11 FEB 2005,1082
11,13:50.62,,Brent VAUGHN,04 SEP 1984,USA,8,,"Fayetteville, AR (USA) (i)",11 MAR 2005,1076
12,13:52.55,,Rod KOBORSI,04 OCT 1983,USA,10,,"Fayetteville, AR (USA) (i)",11 MAR 2005,1070
13,13:52.87,,Joshua MCDOUGAL,01 JUN 1985,USA,1,,"Lynchburg, VA (USA) (i)",03 DEC 2005,1068
14,13:54.13,,Fernando CABADA,22 APR 1982,USA,1,,"Boston, MA (USA) (i)",28 JAN 2005,1064
15,13:55.88,,Simon NGATA,06 SEP 1980,USA,2,,"Fayetteville, AR (USA) (i)",27 FEB 2005,1058
16,13:57.44,,Matt LEVASSIUR,01 JUL 1981,USA,3,,"Boston, MA (USA) (i)",11 FEB 2005,1052
17,13:57.49,,Shawn FORREST,10 JUL 1983,AUS,3,,"Fayetteville, AR (USA) (i)",27 FEB 2005,1052
18,13:58.05,,Martin FAGAN,26 JUN 1983,IRL,2,,"Boston, MA (USA) (i)",28 JAN 2005,1050
19,13:58.18,,Brian OLINGER,02 JUN 1983,USA,11,,"Fayetteville, AR (USA) (i)",11 MAR 2005,1050
20,13:58.64,,Fleet HOWER,1985,USA,3,,"Boston, MA (USA) (i)",28 JAN 2005,1048
