Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,12:51.84,,Grant FISHER,22 APR 1997,USA,1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",16 FEB 2024,1294
2,12:56.76,,Adriaan WILDSCHUTT,03 MAY 1998,RSA,1f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,1275
3,12:57.14,,Nico YOUNG,27 JUL 2002,USA,2f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,1274
4,12:57.52,,Edwin KURGAT,19 MAY 1996,KEN,1f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,1272
5,12:58.68,,George MILLS,12 MAY 1999,GBR,2f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,1268
6,12:58.73,,Sam ATKIN,14 MAR 1993,GBR,3f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,1268
7,13:02.09,,Yared NUGUSE,01 JUN 1999,USA,3f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,1255
8,13:03.17,,Abdihamid NUR,14 OCT 1997,USA,4f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,1251
9,13:03.46,,John HEYMANS,09 JAN 1998,BEL,5f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,1250
10,13:03.57,,Morgan BEADLESCOMB,01 JUN 1998,USA,6f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,1249
11,13:04.05,,Patrick DEVER,05 SEP 1996,GBR,2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",16 FEB 2024,1247
12,13:04.33,,Geordie BEAMISH,24 OCT 1996,NZL,4f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,1246
13,13:04.62,,Benjamin FLANAGAN,11 JAN 1995,CAN,5f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,1245
14,13:04.75,,Jack ROWE,30 JAN 1996,GBR,3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",16 FEB 2024,1245
15,13:06.02,,Joe KLECKER,16 NOV 1996,USA,6f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,1240
16,13:06.30,,Amon KEMBOI,,KEN,4,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",16 FEB 2024,1239
17,13:06.32,,Mohammed AHMED,05 JAN 1991,CAN,5,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",16 FEB 2024,1239
18,13:07.30,,Morgan MCDONALD,23 APR 1996,AUS,7f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,1235
19,13:08.60,,Mike FOPPEN,29 NOV 1996,NED,8f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,1230
20,13:08.76,,Olin HACKER,21 MAY 1997,USA,9f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,1229
21,13:09.38,,Charles HICKS,25 JUL 2001,GBR,6,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",16 FEB 2024,1227
22,13:09.45,,Keita SATOH,22 JAN 2004,JPN,10f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,1227
23,13:12.56,,Andrew COSCORAN,18 JUN 1996,IRL,7f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,1215
24,13:14.64,,Thomas RATCLIFFE,03 SEP 1997,USA,7,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",16 FEB 2024,1207
25,13:15.14,,William KINCAID,21 SEP 1992,USA,8f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,1205
26,13:16.43,,Mohamed ABDILAAHI,24 MAR 1999,GER,11f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,1201
27,13:16.59,,Kieran LUMB,02 AUG 1998,CAN,9f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,1200
28,13:16.68,,Aarón LAS HERAS,22 JUN 2000,ESP,1f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,1200
29,13:16.83,,Theo QUAX,27 DEC 1999,NZL,2f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,1199
30,13:16.99,,Ahmed MUHUMED,01 JAN 1998,USA,1f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1199
31,13:17.21,,Brian FAY,09 NOV 1998,IRL,10f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,1198
32,13:17.52,,Anthony ROTICH,20 OCT 1990,USA,2f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1197
33,13:17.86,,Peter MARU,03 APR 2003,UGA,3f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1195
34,13:18.44,,Athanas KIOKO,26 FEB 1995,KEN,4f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1193
35,13:18.60,,Davor Aaron BIENENFELD,25 SEP 1997,GER,8,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",16 FEB 2024,1193
36,13:18.96,,Alex Chesiro MASAI,05 FEB 1997,KEN,6f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1191
37,13:19.09,,Travis MAHONEY,25 JUL 1990,USA,7f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1191
38,13:19.70,,Sam PARSONS,18 JUN 1994,GER,8f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1188
39,13:19.98,,James WEST,30 JAN 1996,GBR,9f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1187
40,13:20.17,,Charles WHEELER,04 JUL 1998,GBR,10f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1187
41,13:21.99,,Ky ROBINSON,27 FEB 2002,AUS,11f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,1180
42,13:22.15,,Samuel PRAKEL,29 OCT 1994,USA,12f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,1179
43,13:22.53,,Willy FINK,07 MAR 1994,USA,12f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,1178
44,13:23.75,,Emmanuel BOR,14 APR 1988,USA,9,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",16 FEB 2024,1173
45,13:24.16,,Tommy BRADY,,USA,1f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1172
46,13:24.18,,Ahmed JAZIRI,16 DEC 1997,TUN,3f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,1172
47,13:24.39,,Sebastian FREY,28 MAY 2002,AUT,4f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,1171
48,13:25.93,,Wesley KIPTOO,1999,KEN,12f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1165
49,13:26.16,,Benard KETER,25 MAY 1992,USA,13f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1165
50,13:26.32,,Mahadi ABDI ALI,08 NOV 1995,NED,14f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1164
51,13:26.56,,Evans KIPLAGAT,07 MAY 2005,KEN,2f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1163
52,13:26.90,,Dillon MAGGARD,16 OCT 1995,USA,13f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,1162
53,13:27.24,,Anthony CAMERIERI,29 FEB 2000,USA,3f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1161
54,13:27.37,,Parker WOLFE,27 JUL 2003,USA,2,,"The Track at New Balance, Boston, MA (USA) (i)",08 MAR 2024,1160
55,13:27.43,,Said MECHAAL,23 MAY 1998,ESP,4f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1160
56,13:27.55,,Patrick KIPROP,,KEN,15f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1159
