Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,14:35.46,,Tirunesh DIBABA,01 OCT 1985,ETH,1,,"Boston, MA (USA) (i)",28 JAN 2006,1237
2,15:18.97,,Ejegayehu DIBABA,21 MAR 1982,ETH,2,,"Boston, MA (USA) (i)",28 JAN 2006,1150
3,15:37.68,,Sara SLATTERY,02 OCT 1981,USA,3,,"Boston, MA (USA) (i)",28 JAN 2006,1114
4,15:39.43,,Mary Teresa CULLEN,17 AUG 1982,IRL,1,,"Boston, MA (USA) (i)",28 JAN 2006,1111
5,15:46.11,,Sharon DICKIE-THOMPSON,01 AUG 1979,USA,4,,"Boston, MA (USA) (i)",28 JAN 2006,1098
6,15:51.63,,Amy CRAGG,21 JAN 1984,USA,1,,"Fayetteville, AR (USA) (i)",10 MAR 2006,1087
7,15:52.47,,Clara HOROWITZ-PETERSON,26 JAN 1984,USA,2,,"Fayetteville, AR (USA) (i)",10 MAR 2006,1086
8,15:56.51,,Maureen MCCANDLESS,24 AUG 1983,USA,3,,"Fayetteville, AR (USA) (i)",10 MAR 2006,1078
9,15:58.12,,Caroline BIERBAUM-LEFRAK,07 NOV 1983,USA,1,,"New York, NY (USA) (i)",13 JAN 2006,1075
10,15:58.61,,Alyson KOHLMEIER,01 DEC 1986,CAN,1,,"Madison, WI (USA) (i)",26 FEB 2006,1074
11,15:59.01,,Stephanie MADIA,30 SEP 1983,USA,4,,"Fayetteville, AR (USA) (i)",10 MAR 2006,1074
12,16:00.95,,Erin WEBSTER,11 NOV 1985,USA,6,,"Fayetteville, AR (USA) (i)",10 MAR 2006,1070
13,16:05.33,,Samia AKBAR,31 DEC 1981,USA,3,,"Boston, MA (USA) (i)",28 JAN 2006,1062
14,16:06.56,,Salome KOSGEI,03 SEP 1980,KEN,1,,"Fayetteville, AR (USA) (i)",11 FEB 2006,1059
15,16:08.46,,Katrina RUNDHAUG,07 NOV 1984,USA,7,,"Fayetteville, AR (USA) (i)",10 MAR 2006,1056
16,16:08.57,,Rebekah WALTER,27 MAR 1984,USA,3,,"Madison, WI (USA) (i)",26 FEB 2006,1056
17,16:09.14,,Penny SPLICHAL,23 APR 1983,USA,1,,"Gainesville, FL (USA) (i)",26 FEB 2006,1055
18,16:12.60,,Christine BOLF,27 MAY 1984,USA,1,,"Lincoln, NE (USA) (i)",24 FEB 2006,1048
19,16:13.80,,Andrea WALKONEN,25 SEP 1986,USA,1,,"Boston, MA (USA) (i)",17 FEB 2006,1046
20,16:14.90,,Victoria JACKSON,20 JAN 1982,USA,8,,"Fayetteville, AR (USA) (i)",10 MAR 2006,1044
21,16:15.52,,Danette SHEEHAN,30 JUL 1986,CAN,4,,"Boston, MA (USA) (i)",28 JAN 2006,1043
22,16:15.58,,Angela HOMAN,19 JAN 1984,USA,2,,"Gainesville, FL (USA) (i)",26 FEB 2006,1043
23,16:18.40,,Kaitlyn GWYTHER,16 MAY 1984,USA,2,,"New York, NY (USA) (i)",13 JAN 2006,1037
