Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,7.09,,Veronica CAMPBELL-BROWN,15 MAY 1982,JAM,1,,"Norman, OK (USA) (i)",01 FEB 2003,1188
1,7.09,,Muriel HURTIS,25 MAR 1979,FRA,1,,Liévin (FRA) (i),23 FEB 2003,1188
3,7.10,,Natalya VINOGRADOVA,28 FEB 1973,BLR,h,,Minsk (BLR) (i),06 FEB 2003,1185
4,7.11,,Mariya BOLIKOVA,23 MAY 1977,RUS,1,,Moskva (RUS) (i),25 FEB 2003,1182
5,7.14,,Savatheda FYNES,17 OCT 1974,BAH,1,,Karlsruhe (GER) (i),28 FEB 2003,1171
6,7.15,,Muna LEE,30 OCT 1981,USA,1h1,,"Fayetteville, AR (USA) (i)",14 MAR 2003,1168
7,7.16,,Angela WILLIAMS,30 JAN 1980,USA,1,,"Boston, MA (USA) (i)",01 MAR 2003,1164
7,7.16,,Karin MAYR-KRIFKA,04 JUN 1971,AUT,1,,Wien (AUT) (i),09 MAR 2003,1164
9,7.17,,Marina KISLOVA,12 DEC 1978,RUS,1,,Moskva (RUS) (i),30 JAN 2003,1161
9,7.17,,Christine ARRON,13 SEP 1973,FRA,1h1,,Liévin (FRA) (i),23 FEB 2003,1161
9,7.17,,Merlene OTTEY,10 MAY 1960,SLO,1,,Linz (AUT) (i),07 MAR 2003,1161
9,7.17,,Torri EDWARDS,31 JAN 1977,USA,2,,"National Indoor Arena, Birmingham (GBR) (i)",14 MAR 2003,1161
13,7.18,,Philomena MENSAH,11 MAY 1975,CAN,1,,"Salt Lake City, UT (USA) (i)",25 JAN 2003,1158
13,7.18,,Chryste GAINES,14 SEP 1970,USA,2,,"Boston, MA (USA) (i)",01 MAR 2003,1158
15,7.19,,Andalico O'NEIL,,USA,1h1,,"Madison, WI (USA) (i)",11 JAN 2003,1154
15,7.19,,Yulia NESTSIARENKA,15 JUN 1979,BLR,h,,Minsk (BLR) (i),06 FEB 2003,1154
15,7.19,,Sina SCHIELKE,19 MAY 1981,GER,1,,Leipzig (GER) (i),23 FEB 2003,1154
15,7.19,,Sylviane FÉLIX,31 OCT 1977,FRA,3,,Linz (AUT) (i),07 MAR 2003,1154
15,7.19,,Joice MADUAKA,30 SEP 1973,GBR,4sf3,,"National Indoor Arena, Birmingham (GBR) (i)",14 MAR 2003,1154
20,7.20,,Gabi ROCKMEIER,29 NOV 1973,GER,2,,Chemnitz (GER) (i),07 FEB 2003,1151
20,7.20,,Anzhela KRAVCHENKO,25 JAN 1971,UKR,2,,Chemnitz (GER) (i),07 FEB 2003,1151
22,7.21,,Esther MÖLLER,13 SEP 1977,GER,2,,Dortmund (GER) (i),05 FEB 2003,1147
22,7.21,,Mary ONYALI-OMAGBEMI,03 FEB 1968,NGR,1,,"Houston, TX (USA) (i)",15 FEB 2003,1147
22,7.21,,Irina KOZHEMYAKINA,16 JUN 1980,UKR,1,,Sumy (UKR) (i),21 FEB 2003,1147
22,7.21,,Rachelle BOONE-SMITH,30 JUN 1981,USA,1sf1,,"Bloomington, IN (USA) (i)",01 MAR 2003,1147
22,7.21,,Virgen BENAVIDES,31 DEC 1974,CUB,1,,Athina (GRE) (i),06 MAR 2003,1147
27,7.22,,Natalya IGNATOVA,03 JAN 1973,RUS,1,,Moskva (RUS) (i),07 JAN 2003,1144
27,7.22,,Johanna MANNINEN,04 APR 1980,FIN,2,,"Schleyer Halle, Stuttgart (GER) (i)",02 FEB 2003,1144
27,7.22,,Lauryn WILLIAMS,11 SEP 1983,USA,1h3,,"Fayetteville, AR (USA) (i)",14 MAR 2003,1144
30,7.23,,Olena PASTUSHENKO,14 JUL 1979,UKR,3,,"Schleyer Halle, Stuttgart (GER) (i)",02 FEB 2003,1141
30,7.23,,Agné VISOCKAITĖ-EGGERTH,04 AUG 1978,LTU,1,,Kaunas (LTU) (i),21 FEB 2003,1141
30,7.23,,Juliet CAMPBELL,17 MAR 1970,JAM,3,,Karlsruhe (GER) (i),28 FEB 2003,1141
30,7.23,,Natasha JOE-MAYERS,10 MAR 1979,VIN,3sf1,,"National Indoor Arena, Birmingham (GBR) (i)",14 MAR 2003,1141
30,7.23,,Aleen BAILEY,25 NOV 1980,JAM,2h1,,"Fayetteville, AR (USA) (i)",14 MAR 2003,1141
30,7.23,,Elva GOULBOURNE,21 JAN 1980,JAM,2h3,,"Fayetteville, AR (USA) (i)",14 MAR 2003,1141
36,7.24,,Yuliya TABAKOVA,01 MAY 1980,RUS,1,,Volgograd (RUS) (i),18 JAN 2003,1137
