Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,3:47.01,Yomif KEJELCHA,01 AUG 1997,ETH,1,,"Boston, MA (USA)",03 MAR 2019,1304
2,3:48.46,Yomif KEJELCHA,01 AUG 1997,ETH,1,,"New York, NY (USA)",09 FEB 2019,1284
3,3:49.98,John GREGOREK,07 DEC 1991,USA,2,,"Boston, MA (USA)",03 MAR 2019,1263
4,3:50.94,Samuel PRAKEL,29 OCT 1994,USA,3,,"Boston, MA (USA)",03 MAR 2019,1250
5,3:51.26,Henry WYNNE,18 APR 1995,USA,4,,"Boston, MA (USA)",03 MAR 2019,1245
6,3:51.70,Yomif KEJELCHA,01 AUG 1997,ETH,1,,"Reggie Lewis Center, Boston, MA (USA)",26 JAN 2019,1239
7,3:53.29,Edward CHESEREK,02 FEB 1994,KEN,2,,"New York, NY (USA)",09 FEB 2019,1218
8,3:53.30,Clayton MURPHY,26 FEB 1995,USA,3,,"New York, NY (USA)",09 FEB 2019,1218
9,3:53.65,Josh KERR,08 OCT 1997,GBR,4,,"New York, NY (USA)",09 FEB 2019,1213
10,3:53.89,Craig ENGELS,01 MAY 1994,USA,5,,"Boston, MA (USA)",03 MAR 2019,1210
11,3:54.18,Craig ENGELS,01 MAY 1994,USA,5,,"New York, NY (USA)",09 FEB 2019,1206
12,3:54.28,Rob NAPOLITANO,03 NOV 1994,USA,6,,"Boston, MA (USA)",03 MAR 2019,1205
13,3:54.77,Vladimir NIKITIN,05 AUG 1992,RUS,1f2,,Moskva (RUS),03 FEB 2019,1198
14,3:54.80,Nick WILLIS,25 APR 1983,NZL,6,,"New York, NY (USA)",09 FEB 2019,1198
15,3:54.82,Bethwell BIRGEN,06 AUG 1988,KEN,2,,"Reggie Lewis Center, Boston, MA (USA)",26 JAN 2019,1197
16,3:54.83,Oliver HOARE,29 JAN 1997,AUS,7,,"New York, NY (USA)",09 FEB 2019,1197
17,3:55.52,John GREGOREK,07 DEC 1991,USA,8,,"New York, NY (USA)",09 FEB 2019,1188
18,3:55.66,Jeremy HERNANDEZ,13 APR 1996,USA,7,,"Boston, MA (USA)",03 MAR 2019,1186
19,3:55.74,Edward CHESEREK,02 FEB 1994,KEN,1,,"Winston Salem, NC (USA)",02 FEB 2019,1185
20,3:56.41,Marcin LEWANDOWSKI,13 JUN 1987,POL,1,,Athlone (IRL),13 FEB 2019,1176
21,3:56.46,Stewart MCSWEYN,01 JUN 1995,AUS,2,,Athlone (IRL),13 FEB 2019,1176
22,3:56.60,Samuel PRAKEL,29 OCT 1994,USA,3,,"Reggie Lewis Center, Boston, MA (USA)",26 JAN 2019,1174
22,3:56.60,Nanami ARAI,26 DEC 1994,JPN,1f1,,"Boston, MA (USA)",24 FEB 2019,1174
24,3:56.75,Nick WILLIS,25 APR 1983,NZL,4,,"Reggie Lewis Center, Boston, MA (USA)",26 JAN 2019,1172
25,3:56.78,Waleed SULIMAN,22 SEP 1998,USA,1f1,,"Boston, MA (USA)",09 FEB 2019,1172
26,3:56.85,Ryan GREGSON,26 APR 1990,AUS,3,,Athlone (IRL),13 FEB 2019,1171
27,3:56.93,Vincent KIBET,06 MAY 1991,KEN,5,,"Reggie Lewis Center, Boston, MA (USA)",26 JAN 2019,1170
27,3:56.93,Nick WILLIS,25 APR 1983,NZL,2f1,,"Boston, MA (USA)",24 FEB 2019,1170
29,3:57.80,Casey COMBER,04 NOV 1996,USA,2f1,,"Boston, MA (USA)",09 FEB 2019,1158
30,3:57.86,Travis MAHONEY,25 JUL 1990,USA,8,,"Boston, MA (USA)",03 MAR 2019,1157
31,3:57.92,Kyle MERBER,19 NOV 1990,USA,9,,"Boston, MA (USA)",03 MAR 2019,1157
32,3:57.93,Yared NUGUSE,01 JUN 1999,USA,1,,"Blacksburg, VA (USA)",23 FEB 2019,1156
33,3:57.97,Chris O'HARE,23 NOV 1990,GBR,1f2,,"Fayetteville, AR (USA)",11 JAN 2019,1156
34,3:58.06,Jonathan DAVIS,10 OCT 1997,USA,1f1,,"Iowa City, IA (USA)",19 JAN 2019,1155
35,3:58.07,James RANDON,16 JUN 1994,USA,3f1,,"Boston, MA (USA)",24 FEB 2019,1155
36,3:58.17,Eric AVILA,03 OCT 1989,USA,1f1,,"Boston, MA (USA)",02 FEB 2019,1153
37,3:58.32,Joshua THOMPSON,09 MAY 1993,USA,3f1,,"Boston, MA (USA)",09 FEB 2019,1151
38,3:58.35,Nanami ARAI,26 DEC 1994,JPN,4f1,,"Boston, MA (USA)",09 FEB 2019,1151
38,3:58.35,Daniel HERRERA,29 NOV 1992,USA,4f1,,"Boston, MA (USA)",24 FEB 2019,1151
40,3:58.39,Julian OAKLEY,23 JUN 1993,NZL,5f1,,"Boston, MA (USA)",24 FEB 2019,1150
41,3:58.48,John TRAVERS,16 MAR 1991,IRL,4,,Athlone (IRL),13 FEB 2019,1149
