Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,4:27.54,Heather MACLEAN,31 AUG 1995,USA,1,,"Randal Tyson Indoor Center, Fayetteville, AR (USA)",31 JAN 2021,1166
2,4:27.68,Aleksandra GULYAYEVA,30 APR 1994,RUS,1,,"IFKiS OGPU Arena, Orenburg (RUS)",30 JAN 2021,1165
3,4:30.54,Rachel SCHNEIDER,18 JUL 1991,USA,1,,"JDL Fast Track, Winston Salem, NC (USA)",20 FEB 2021,1144
4,4:30.56,Danielle JONES,21 AUG 1996,USA,2,,"Randal Tyson Indoor Center, Fayetteville, AR (USA)",31 JAN 2021,1144
5,4:30.58,Sage HURTA,23 JUN 1998,USA,1,,"Randal Tyson Indoor Center, Fayetteville, AR (USA)",13 MAR 2021,1144
6,4:31.39,Josette NORRIS,15 DEC 1995,USA,1,,"Virginia Beach Sports Center, Virginia Beach, VA (USA)",01 FEB 2021,1138
7,4:31.48,Josette NORRIS,15 DEC 1995,USA,2,,"JDL Fast Track, Winston Salem, NC (USA)",20 FEB 2021,1137
8,4:31.83,Kristlin GEAR,20 JUL 1999,USA,1h2,,"Randal Tyson Indoor Center, Fayetteville, AR (USA)",13 FEB 2021,1135
9,4:32.09,Svetlana APLACHKINA,28 NOV 1992,RUS,2,,"IFKiS OGPU Arena, Orenburg (RUS)",30 JAN 2021,1133
10,4:32.37,Kristlin GEAR,20 JUL 1999,USA,2,,"Randal Tyson Indoor Center, Fayetteville, AR (USA)",13 MAR 2021,1131
11,4:32.84,Sarah EDWARDS,07 JUL 1998,USA,3,,"JDL Fast Track, Winston Salem, NC (USA)",20 FEB 2021,1128
12,4:33.22,Amaris TYYNISMAA,21 MAR 2001,USA,2h2,,"Randal Tyson Indoor Center, Fayetteville, AR (USA)",13 FEB 2021,1125
13,4:33.39,Mackenzie ANDREWS,22 JUL 1997,AUS,3,,"Randal Tyson Indoor Center, Fayetteville, AR (USA)",31 JAN 2021,1124
14,4:33.65,Gabrielle JENNINGS,15 SEP 1998,USA,4,,"JDL Fast Track, Winston Salem, NC (USA)",20 FEB 2021,1122
15,4:33.95,Kennedy THOMSON,02 OCT 1998,CAN,3,,"Randal Tyson Indoor Center, Fayetteville, AR (USA)",13 MAR 2021,1120
16,4:34.19,Lauren GREGORY,25 JUL 1999,USA,3h2,,"Randal Tyson Indoor Center, Fayetteville, AR (USA)",13 FEB 2021,1118
17,4:34.39,Katie IZZO,22 DEC 1996,USA,4h2,,"Randal Tyson Indoor Center, Fayetteville, AR (USA)",13 FEB 2021,1116
18,4:34.72,Kristlin GEAR,20 JUL 1999,USA,1,,"Randal Tyson Indoor Center, Fayetteville, AR (USA)",27 FEB 2021,1114
19,4:34.98,Maudie SKYRING,09 APR 1997,AUS,5h2,,"Randal Tyson Indoor Center, Fayetteville, AR (USA)",13 FEB 2021,1112
20,4:35.38,Amaris TYYNISMAA,21 MAR 2001,USA,2,,"Randal Tyson Indoor Center, Fayetteville, AR (USA)",27 FEB 2021,1109
21,4:35.69,Lauren GREGORY,25 JUL 1999,USA,1,,"Randal Tyson Indoor Center, Fayetteville, AR (USA)",30 JAN 2021,1107
22,4:35.72,Lauren GREGORY,25 JUL 1999,USA,3,,"Randal Tyson Indoor Center, Fayetteville, AR (USA)",27 FEB 2021,1107
