Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,8:55.24,David NILSSON,16 APR 1987,SWE,1,,Huddinge (SWE),22 MAR 2016,996
2,8:57.03,Garek BIELACZYC,30 JUN 1998,USA,1f2,,"New York, NY (USA)",11 MAR 2016,986
3,8:57.86,Thomas RATCLIFFE,03 SEP 1997,USA,2f2,,"New York, NY (USA)",11 MAR 2016,982
4,8:59.98,Conor LUNDY,01 MAR 1998,USA,3f2,,"New York, NY (USA)",11 MAR 2016,971
5,8:59.99,David PRINCIPE,10 NOV 1998,USA,4f2,,"New York, NY (USA)",11 MAR 2016,971
6,9:00.06,Ryan KUTCH,18 SEP 1998,USA,5f2,,"New York, NY (USA)",11 MAR 2016,970
7,9:00.07,Garek BIELACZYC,30 JUN 1998,USA,1,,"Nampa, ID (USA)",05 FEB 2016,970
8,9:00.10,Benjamin PETRELLA,,USA,6f2,,"New York, NY (USA)",11 MAR 2016,970
9,9:00.38,Gannon WILLCUTTS,,USA,7f2,,"New York, NY (USA)",11 MAR 2016,969
10,9:03.45,Matthew BOUTHILETTE,05 JAN 1998,USA,8f2,,"New York, NY (USA)",11 MAR 2016,952
11,9:04.30,Brayden LAW,,USA,1f1,,"New York, NY (USA)",11 MAR 2016,948
12,9:07.45,Jonathan CHAVEZ,,USA,2f1,,"New York, NY (USA)",11 MAR 2016,932
13,9:08.53,Noah JACOBS,,USA,3f1,,"New York, NY (USA)",11 MAR 2016,926
14,9:09.89,Gabe ALTOPP,,USA,4f1,,"New York, NY (USA)",11 MAR 2016,919
15,9:10.22,Jordan BRANNAN,,USA,5f1,,"New York, NY (USA)",11 MAR 2016,917
16,9:11.08,Rohann ASFAW,,USA,1f2,,"New York, NY (USA)",11 MAR 2016,913
17,9:12.09,Jacob LEE,,USA,6f1,,"New York, NY (USA)",11 MAR 2016,908
18,9:12.12,Jean-Simon DESGAGNÉS,26 JUL 1998,CAN,2f2,,"New York, NY (USA)",11 MAR 2016,908
19,9:12.70,Abe VISSER,,USA,3f2,,"New York, NY (USA)",11 MAR 2016,905
20,9:13.02,Ryan KUTCH,18 SEP 1998,USA,1,,NY (USA),30 DEC 2015,903
21,9:13.52,John WAVERING,,USA,4f2,,"New York, NY (USA)",11 MAR 2016,900
22,9:13.68,Nick DAHL,25 AUG 1998,USA,7f1,,"New York, NY (USA)",11 MAR 2016,900
23,9:13.81,Kennan SCHRAG,,USA,8f1,,"New York, NY (USA)",11 MAR 2016,899
24,9:14.84,Jack SALISBURY,05 JAN 1998,USA,9f2,,"New York, NY (USA)",11 MAR 2016,894
25,9:15.71,Peter MONAHAN,,USA,9f1,,"New York, NY (USA)",11 MAR 2016,889
26,9:18.41,Kevin MURRAY,,USA,5f2,,"New York, NY (USA)",11 MAR 2016,876
27,9:21.14,Joe DRAGON,,USA,1,,"New York, NY (USA)",19 DEC 2015,862
28,9:21.44,Nick STEELE,09 NOV 1997,USA,1f1,,"New York, NY (USA)",11 MAR 2016,860
29,9:21.73,Hunter MOORE,,USA,6f2,,"New York, NY (USA)",11 MAR 2016,859
30,9:21.89,Saurav VELLELETH,,USA,2f1,,"New York, NY (USA)",11 MAR 2016,858
31,9:22.12,Andrew COOPER,,USA,10f1,,"New York, NY (USA)",11 MAR 2016,857
32,9:22.28,Ian MICKOOL,,USA,3f1,,"New York, NY (USA)",11 MAR 2016,856
33,9:24.05,Kendall WESTHOFF,,USA,8f2,,"New York, NY (USA)",11 MAR 2016,848
34,9:24.09,Paul CASAVANT,,USA,9f2,,"New York, NY (USA)",11 MAR 2016,847
35,9:24.40,Michael RAUTTER,,USA,10f2,,"New York, NY (USA)",11 MAR 2016,846
