Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,9:44.44,Natalie COOK,14 MAY 2003,USA,1f5,,"Armory Track&Field Center, New York, NY (USA)",11 MAR 2022,1115
2,9:52.35,Ellie SHEA,06 SEP 2005,USA,2f5,,"Armory Track&Field Center, New York, NY (USA)",11 MAR 2022,1091
3,9:56.96,Angelina PEREZ,,USA,3f5,,"Armory Track&Field Center, New York, NY (USA)",11 MAR 2022,1076
4,10:03.86,Jenna MULHERN,23 MAR 2004,USA,1,,"Virginia Beach Sports Center, Virginia Beach, VA (USA)",19 MAR 2022,1055
5,10:07.43,Angelina PEREZ,,USA,2,,"Virginia Beach Sports Center, Virginia Beach, VA (USA)",19 MAR 2022,1044
6,10:15.18,Kate PUTMAN,,USA,4f5,,"Armory Track&Field Center, New York, NY (USA)",11 MAR 2022,1021
7,10:15.62,Karrie BALOGA,05 OCT 2005,USA,5f5,,"Armory Track&Field Center, New York, NY (USA)",11 MAR 2022,1020
8,10:17.09,Zariel MACCHIA,14 MAY 2006,USA,1,,"Ocean Breeze Athl. Complex, New York, NY (USA)",12 MAR 2022,1015
9,10:17.14,Katie CLUTE,,USA,6f5,,"Armory Track&Field Center, New York, NY (USA)",11 MAR 2022,1015
10,10:17.58,Thais ROLLY,,USA,7f5,,"Armory Track&Field Center, New York, NY (USA)",11 MAR 2022,1014
11,10:18.84,Caroline LEHMAN,,USA,8f5,,"Armory Track&Field Center, New York, NY (USA)",11 MAR 2022,1010
12,10:19.58,Ava GORDON,,USA,1f4,,"Armory Track&Field Center, New York, NY (USA)",11 MAR 2022,1008
13,10:19.80,Gillian BUSHEE,,USA,9f5,,"Armory Track&Field Center, New York, NY (USA)",11 MAR 2022,1007
14,10:19.85,Samantha HUMPHRIES,,USA,2f4,,"Armory Track&Field Center, New York, NY (USA)",11 MAR 2022,1007
15,10:19.87,Allie ZEALAND,07 SEP 2006,USA,3f4,,"Armory Track&Field Center, New York, NY (USA)",11 MAR 2022,1007
16,10:21.36,Rachel ST.GERMAIN,,USA,2,,"Ocean Breeze Athl. Complex, New York, NY (USA)",12 MAR 2022,1003
17,10:21.54,Mary DALTON,,USA,4f4,,"Armory Track&Field Center, New York, NY (USA)",11 MAR 2022,1002
18,10:22.79,Ella BORSHEIM,,USA,5f4,,"Armory Track&Field Center, New York, NY (USA)",11 MAR 2022,998
19,10:25.61,Mia COCHRAN,,USA,1,,"Virginia Beach Sports Center, Virginia Beach, VA (USA)",15 JAN 2022,990
20,10:26.56,Elia TON-THAT,10 DEC 2004,USA,1f3,,"Armory Track&Field Center, New York, NY (USA)",11 MAR 2022,987
21,10:27.21,Alli CRYTSER,,USA,6f4,,"Armory Track&Field Center, New York, NY (USA)",11 MAR 2022,985
22,10:27.45,Ciara O'SHEA,,USA,10f5,,"Armory Track&Field Center, New York, NY (USA)",11 MAR 2022,985
23,10:29.83,Kayla WERNER,,USA,7f4,,"Armory Track&Field Center, New York, NY (USA)",11 MAR 2022,978
24,10:31.54,Addiso KNOBLAUCH,,USA,8f4,,"Armory Track&Field Center, New York, NY (USA)",11 MAR 2022,973
25,10:31.89,Hannah SHAFFER,,USA,9f4,,"Armory Track&Field Center, New York, NY (USA)",11 MAR 2022,972
26,10:32.40,Carly WILKES,,USA,2f3,,"Armory Track&Field Center, New York, NY (USA)",11 MAR 2022,970
27,10:32.48,Jolena QUARZO,,USA,2,,"Virginia Beach Sports Center, Virginia Beach, VA (USA)",15 JAN 2022,970
28,10:33.06,Gillian BUSHEE,,USA,3,,"Virginia Beach Sports Center, Virginia Beach, VA (USA)",15 JAN 2022,968
29,10:34.14,Caroline BAUER,,USA,4,,"Virginia Beach Sports Center, Virginia Beach, VA (USA)",15 JAN 2022,965
30,10:34.40,Meg MADISON,,USA,10f4,,"Armory Track&Field Center, New York, NY (USA)",11 MAR 2022,964
31,10:35.32,Katherine STRONG,,USA,5,,"Virginia Beach Sports Center, Virginia Beach, VA (USA)",15 JAN 2022,962
32,10:35.54,Sydney LEITNER,,USA,11f4,,"Armory Track&Field Center, New York, NY (USA)",11 MAR 2022,961
33,10:36.32,Lillian MURPHY,,USA,3f3,,"Armory Track&Field Center, New York, NY (USA)",11 MAR 2022,959
34,10:36.67,Mary Grace HEGBERG,,USA,3,,"Virginia Beach Sports Center, Virginia Beach, VA (USA)",19 MAR 2022,958
35,10:37.16,Mary Ellen EUDALY,,USA,11f5,,"Armory Track&Field Center, New York, NY (USA)",11 MAR 2022,956
36,10:37.31,Irene WILLIAMS,,USA,4f3,,"Armory Track&Field Center, New York, NY (USA)",11 MAR 2022,956
37,10:38.66,Katherine STRONG,,USA,12f4,,"Armory Track&Field Center, New York, NY (USA)",11 MAR 2022,952
38,10:39.48,Tiffany SAX,2006,USA,12f5,,"Armory Track&Field Center, New York, NY (USA)",11 MAR 2022,949
