Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,2:15.81,,Robert FARKEN,20 SEP 1997,GER,1,,"Nordanlage, Leipzig (GER)",21 JUL 2021,1161
2,2:15.99,,Jesús GÓMEZ,24 APR 1991,ESP,1,,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",12 MAY 2021,1157
3,2:16.27,,Bryce HOPPEL,05 SEP 1997,USA,1,,"Ocean Breeze Athl. Complex, New York, NY (USA) (i)",13 FEB 2021,1225
4,2:17.10,,Marco AROP,20 SEP 1998,CAN,2,,"Ocean Breeze Athl. Complex, New York, NY (USA) (i)",13 FEB 2021,1206
5,2:17.20,,Charlie DA'VALL GRICE,07 NOV 1993,GBR,3,,"Ocean Breeze Athl. Complex, New York, NY (USA) (i)",13 FEB 2021,1203
6,2:17.21,,Michał ROZMYS,13 MAR 1995,POL,1,,"Forest Stadium, Sopot (POL)",30 AUG 2021,1129
7,2:17.24,,Baptiste MISCHLER,23 NOV 1997,FRA,2,,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",12 MAY 2021,1128
8,2:17.55,,Ignacio FONTES,22 JUN 1998,ESP,3,,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",12 MAY 2021,1121
9,2:18.38,,Charles PHILIBERT-THIBOUTOT,31 DEC 1990,CAN,1,,"Piste Ben Leduc, Montréal (CAN)",17 JUL 2021,1103
10,2:18.39,,Jamal HAIRANE,26 MAY 1993,QAT,4,,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",12 MAY 2021,1103
11,2:18.54,,Filip SASÍNEK,08 JAN 1996,CZE,2,,"Forest Stadium, Sopot (POL)",30 AUG 2021,1099
12,2:18.68,,Neil GOURLEY,07 FEB 1995,GBR,1f1,,"Rector Fieldhouse, Blacksburg, VA (USA) (i)",22 JAN 2021,1169
13,2:18.79,,Peter BOL,22 FEB 1994,AUS,1f1,,"Hagenauer Reserve, Box Hill, Melbourne (AUS)",02 MAR 2021,1094
14,2:18.82,,Konstantin KHOLMOGOROV,07 FEB 1996,ANA,1,,"Salyut Stadion, Dolgoprudny (RUS)",24 JUL 2021,1093
15,2:18.89,,Mariano GARCÍA,25 SEP 1997,ESP,5,,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",12 MAY 2021,1091
16,2:18.92,,Julian RANC,14 SEP 1996,FRA,1f1,,"Schönbuchstadion, Pliezhausen (GER)",08 MAY 2021,1091
16,2:18.92,,Christoph KESSLER,28 APR 1995,GER,2,,"Nordanlage, Leipzig (GER)",21 JUL 2021,1091
18,2:18.97,,Brad MATHAS,24 JUN 1993,NZL,2f1,,"Hagenauer Reserve, Box Hill, Melbourne (AUS)",02 MAR 2021,1090
19,2:18.98,,Festus LAGAT,10 OCT 1996,KEN,1,,"Lied Recreation Center, Ames, IA (USA) (i)",12 FEB 2021,0
20,2:19.11,,Jason GOMEZ,08 AUG 2000,USA,2,,"Lied Recreation Center, Ames, IA (USA) (i)",12 FEB 2021,0
20,2:19.11,,Aleksey BUTRANOV,18 AUG 1991,RUS,2,,"Salyut Stadion, Dolgoprudny (RUS)",24 JUL 2021,1087
22,2:19.13,,Roshon ROOMES,,USA,3,,"Lied Recreation Center, Ames, IA (USA) (i)",12 FEB 2021,0
23,2:19.15,,Jan FRIŠ,19 DEC 1995,CZE,2f1,,"Schönbuchstadion, Pliezhausen (GER)",08 MAY 2021,1086
24,2:19.45,,Lukáš HODBOĎ,02 MAR 1996,CZE,1,,"Stromovka, Praha (CZE) (i)",23 JAN 2021,1151
25,2:19.52,,Homiyu TESFAYE,23 JUN 1993,GER,4f1,,"Schönbuchstadion, Pliezhausen (GER)",08 MAY 2021,1078
25,2:19.52,,Kevin ROBERTSON,28 SEP 1998,CAN,2,,"Piste Ben Leduc, Montréal (CAN)",17 JUL 2021,1078
27,2:19.69,,Diego ZARATE,03 SEP 1997,USA,2f1,,"Rector Fieldhouse, Blacksburg, VA (USA) (i)",22 JAN 2021,1146
28,2:19.84,,Kazuto IIZAWA,02 FEB 2001,JPN,1,,"Komazawa Olympic Park Athletic Stadium, Tokyo (JPN)",30 OCT 2021,1071
29,2:19.98,,Filip ŠNEJDR,16 APR 1995,CZE,4,,"Stromovka, Praha (CZE) (i)",23 JAN 2021,1139
