Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,31:00.27,,Mestawat TUFA,14 SEP 1983,ETH,1,,Valkenswaard (NED),26 JUN 2007,1192
2,31:06.20,,Florence KIPLAGAT,27 FEB 1987,KEN,1,,Utrecht (NED),17 MAY 2007,1187
3,31:13.67,,Teyba ERKESSO,30 OCT 1982,ETH,2,,Utrecht (NED),17 MAY 2007,1180
4,31:17.30,,Yingying ZHANG,04 JAN 1990,CHN,1,,Wuhan (CHN),02 NOV 2007,1177
5,31:17.31,,Jennifer RHINES,01 JUL 1974,USA,1,,"Palo Alto, CA (USA)",29 APR 2007,1177
6,31:18.97,,Ejegayehu DIBABA,21 MAR 1982,ETH,1,,Barakaldo (ESP),14 JUL 2007,1176
7,31:20.63,,Kimberley SMITH,19 NOV 1981,NZL,2,,"Palo Alto, CA (USA)",29 APR 2007,1174
8,31:20.66,,Aheza KIROS,16 OCT 1985,ETH,2,,Barakaldo (ESP),14 JUL 2007,1174
9,31:21.25,,Fang XIE,26 DEC 1989,CHN,2,,Wuhan (CHN),02 NOV 2007,1174
10,31:22.80,,Nathalie DE VOS,09 DEC 1982,BEL,3,,Utrecht (NED),17 MAY 2007,1172
11,31:23.07,,Huirong CHEN,01 JUN 1988,CHN,3,,Wuhan (CHN),02 NOV 2007,1172
12,31:25.15,,Elvan ABEYLEGESSE,11 SEP 1982,TUR,1,,Ferrara (ITA),07 APR 2007,1170
13,31:26.08,,Inga ABITOVA,06 MAR 1982,RUS,1,,Zhukovskiy (RUS),14 JUL 2007,1169
14,31:26.94,,Joanne PAVEY,20 SEP 1973,GBR,1,,Watford (GBR),30 JUN 2007,1168
15,31:31.18,,Edith MASAI,04 APR 1967,KEN,2,,Algiers (ALG),21 JUL 2007,1165
16,31:32.49,,Xue BAI,13 DEC 1988,CHN,4,,Wuhan (CHN),02 NOV 2007,1164
17,31:32.52,,Lucy Kabuu WANGUI,24 MAR 1984,KEN,1,,Shizuoka (JPN),30 APR 2007,1163
18,31:33.49,,Etalemahu KIDANE,14 FEB 1983,ETH,2,,Valkenswaard (NED),26 JUN 2007,1163
19,31:35.27,,Megumi KINUKAWA,07 AUG 1989,JPN,2,,Kobe (JPN),22 APR 2007,1161
20,31:36.56,,Asmae LEGHZAOUI,30 AUG 1976,MAR,1,,Avilés (ESP),28 JUL 2007,1160
21,31:36.78,,Irene Kwambai KIPCHUMBA,25 OCT 1978,KEN,3,,Algiers (ALG),21 JUL 2007,1160
22,31:37.82,,Katie MCGREGOR,02 SEP 1977,USA,3,,"Palo Alto, CA (USA)",29 APR 2007,1159
23,31:38.16,,Eveline Kemunto KIMWEI,25 AUG 1987,KEN,3,,Kobe (JPN),22 APR 2007,1158
24,31:39.11,,Philes ONGORI,19 JUL 1986,KEN,4,,Kobe (JPN),22 APR 2007,1158
25,31:39.32,,Akane WAKITA,15 DEC 1987,JPN,5,,Kobe (JPN),22 APR 2007,1157
26,31:39.84,,Sally KIPYEGO,19 DEC 1985,KEN,6,,Kobe (JPN),22 APR 2007,1157
26,31:39.84,,Xiaoxue SONG,13 FEB 1987,CHN,5,,Wuhan (CHN),02 NOV 2007,1157
28,31:45.00,,Eveline Nganga WAMBUI,04 APR 1986,KEN,4,,Utrecht (NED),17 MAY 2007,1152
29,31:45.98,,Bezunesh BEKELE,29 JAN 1983,ETH,3,,Valkenswaard (NED),26 JUN 2007,1151
