Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,7:56.32,,Saif Saaeed SHAHEEN,15 OCT 1982,QAT,1,,"Olympic Stadium, Athina (GRE)",03 JUL 2006,1275
2,7:59.94,,Paul Kipsiele KOECH,10 NOV 1981,KEN,1,,"Stadio Olimpico, Roma (ITA)",14 JUL 2006,1258
3,8:07.50,,Richard Kipkemboi MATEELONG,14 OCT 1983,KEN,2,,"Stadio Olimpico, Roma (ITA)",14 JUL 2006,1223
4,8:08.32,,Brimin Kiprop KIPRUTO,31 JUL 1985,KEN,3,,"Stadio Olimpico, Roma (ITA)",14 JUL 2006,1220
5,8:08.78,,Abdelkader HACHLAF,03 JUL 1979,MAR,4,,"Stadio Olimpico, Roma (ITA)",14 JUL 2006,1217
6,8:08.79,,Reuben KOSGEI,12 AUG 1979,KEN,2,,"Olympic Stadium, Athina (GRE)",03 JUL 2006,1217
7,8:08.82,,Daniel LINCOLN,22 OCT 1980,USA,5,,"Stadio Olimpico, Roma (ITA)",14 JUL 2006,1217
8,8:09.29,,Ezekiel KEMBOI,25 MAY 1982,KEN,1,,"Stade de France, Paris-St-Denis (FRA)",08 JUL 2006,1215
9,8:09.53,,Bouabdellah TAHRI,20 DEC 1978,FRA,3,,"Boudewijnstadion, Bruxelles (BEL)",25 AUG 2006,1214
10,8:11.36,,Tareq Mubarak TAHER,01 DEC 1986,BRN,1,,"Estadio Iberoamericano, Huelva (ESP)",20 JUN 2006,1206
11,8:11.55,,Antonio David JIMÉNEZ,18 FEB 1977,ESP,2,,"Estadio Iberoamericano, Huelva (ESP)",20 JUN 2006,1205
12,8:12.86,,José Luis BLANCO,03 JUN 1975,ESP,3,,"Estadio Iberoamericano, Huelva (ESP)",20 JUN 2006,1199
13,8:13.06,,César PÉREZ,04 JUL 1975,ESP,4,,"Estadio Iberoamericano, Huelva (ESP)",20 JUN 2006,1198
14,8:14.00,,Willy Rutto KOMEN,22 DEC 1987,KEN,1,,"Chaoyang Sport Center, Beijing (CHN)",19 AUG 2006,1194
15,8:14.67,,Mustafa MOHAMED,01 MAR 1979,SWE,3,,Stockholm (SWE),25 JUL 2006,1191
16,8:14.75,,Brahim TALEB,16 FEB 1985,MAR,3,,Heusden-Zolder (BEL),22 JUL 2006,1190
17,8:14.99,,Michael KIPYEGO,02 OCT 1983,KEN,4,,"Gottlieb-Daimler Stadion, Stuttgart (GER)",10 SEP 2006,1189
18,8:15.21,,Caleb NGETICH,20 JAN 1981,KEN,5,,"Estadio Iberoamericano, Huelva (ESP)",20 JUN 2006,1188
19,8:15.32,,Wesley KIPROTICH,01 AUG 1979,KEN,3,,Zürich (SUI),18 AUG 2006,1188
20,8:15.37,,Simon VROEMEN,11 MAY 1969,NED,4,,Heusden-Zolder (BEL),22 JUL 2006,1187
21,8:15.74,,Kipkurui MISOI,23 OCT 1978,KEN,8,,"Stadio Olimpico, Roma (ITA)",14 JUL 2006,1186
22,8:16.65,,Vincent LE DAUPHIN,28 JUN 1976,FRA,4,,"Stade de France, Paris-St-Denis (FRA)",08 JUL 2006,1182
23,8:16.74,,Jukka KESKISALO,27 MAR 1981,FIN,4,,Zürich (SUI),18 AUG 2006,1181
24,8:17.26,,Jamal Bilal SALEM,12 SEP 1978,QAT,8,,"Boudewijnstadion, Bruxelles (BEL)",25 AUG 2006,1179
25,8:17.41,,Abraham CHERONO,21 JUL 1980,KEN,4,,Stockholm (SWE),25 JUL 2006,1178
25,8:17.41,,Luis Miguel MARTÍN,11 JAN 1972,ESP,2,,Linz (AUT),22 AUG 2006,1178
27,8:17.71,,Julius NYAMU,01 DEC 1977,KEN,3,,Linz (AUT),22 AUG 2006,1177
28,8:18.11,,Bisluke Kipkorir KIPLAGAT,08 AUG 1988,KEN,2,,"Chaoyang Sport Center, Beijing (CHN)",19 AUG 2006,1175
29,8:18.70,,Collins KOSGEI,04 AUG 1986,KEN,4,,Villeneuve d'Ascq (FRA),09 JUN 2006,1172
30,8:18.90,,Eliseo MARTÍN,05 NOV 1973,ESP,4,,Linz (AUT),22 AUG 2006,1171
31,8:19.25,,Radosław POPŁAWSKI,16 JAN 1983,POL,1,,Helsinki (FIN),26 JUL 2006,1170
32,8:19.34,,David Biwott CHEMWENO,18 DEC 1981,KEN,7,,"Olympic Stadium, Athina (GRE)",03 JUL 2006,1170
33,8:19.37,,Hamid EZZINE,05 OCT 1983,MAR,3,,Rabat (MAR),17 JUN 2006,1169
34,8:19.56,,Ali EZZINE,03 SEP 1978,MAR,9,,"Olympic Stadium, Athina (GRE)",03 JUL 2006,1169
35,8:19.77,,Anthony FAMIGLIETTI,08 NOV 1978,USA,5,,Linz (AUT),22 AUG 2006,1168
36,8:20.05,,Abdelghani AIT BAHMED,28 JUL 1989,MAR,3,,"Chaoyang Sport Center, Beijing (CHN)",19 AUG 2006,1166
37,8:20.29,,Ali Thamer KAMAL,12 NOV 1988,QAT,3,,Helsinki (FIN),26 JUL 2006,1165
38,8:20.91,,Günther WEIDLINGER,05 APR 1978,AUT,10,,"Stade de France, Paris-St-Denis (FRA)",08 JUL 2006,1162
39,8:20.97,,Martin PRÖLL,21 MAR 1981,AUT,6,,Linz (AUT),22 AUG 2006,1162
40,8:21.28,,Ruben RAMOLEFI,17 JUL 1978,RSA,1,,Port Elizabeth (RSA),11 FEB 2006,1161
41,8:21.87,,Ali Ahmed AL AMRI,28 DEC 1987,KSA,3,,Algiers (ALG),22 JUN 2006,1158
42,8:21.98,,Youcef ABDI,07 DEC 1977,AUS,8,,Heusden-Zolder (BEL),22 JUL 2006,1158
43,8:22.30,,Pavel POTAPOVICH,26 NOV 1980,RUS,1,,Tula (RUS),15 JUL 2006,1156
44,8:22.42,,Mohamed-Khaled BELABBAS,04 JUL 1981,FRA,1,,Longeville (FRA),02 JUL 2006,1156
45,8:22.70,,Steve SLATTERY,14 AUG 1980,USA,10,,"Stadio Olimpico, Roma (ITA)",14 JUL 2006,1154
46,8:22.82,,Elijah KIBWALEI,1975,KEN,8,,"Stade Olympique de la Pontaise, Lausanne (SUI)",11 JUL 2006,1154
47,8:23.03,,Gaël PENCRÉACH,05 AUG 1977,FRA,7,,"Estadio Iberoamericano, Huelva (ESP)",20 JUN 2006,1153
48,8:23.05,,Pieter DESMET,07 JUN 1983,BEL,9,,Heusden-Zolder (BEL),22 JUL 2006,1153
49,8:23.06,,Abubaker Ali KAMAL,08 NOV 1983,QAT,6,,Helsinki (FIN),26 JUL 2006,1153
50,8:23.16,,Vincent ZOUAOUI DANDRIEUX,12 OCT 1980,FRA,2,,Longeville (FRA),02 JUL 2006,1152
51,8:23.65,,Bjørnar Ustad KRISTENSEN,26 JAN 1982,NOR,10,,Heusden-Zolder (BEL),22 JUL 2006,1150
52,8:24.15,,Vadim SLOBODENYUK,17 MAR 1981,UKR,3,,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",01 JUN 2006,1148
53,8:24.3h,,Collins NGENO,14 APR 1983,KEN,3,,Nairobi (KEN),01 JUL 2006,1147
54,8:24.5h,,David LANGAT,10 MAR 1983,KEN,4,,Nairobi (KEN),01 JUL 2006,1146
55,8:24.62,,Peter NOWILL,15 JUN 1979,AUS,7,,Helsinki (FIN),26 JUL 2006,1146
56,8:24.87,,Nordine GEZZAR,17 FEB 1980,FRA,1,,Aix-les-Bains (FRA),21 MAY 2006,1145
57,8:25.04,,Itai MAGIDI,09 JAN 1981,ISR,3sf2,,"Ullevi Stadium, Göteborg (SWE)",09 AUG 2006,1144
58,8:25.34,,Krijn VAN KOOLWIJK,30 AUG 1981,BEL,3,,Neerpelt (BEL),05 JUN 2006,1143
59,8:25.45,,Tomasz SZYMKOWIAK,05 JUL 1983,POL,3,,Paris (FRA),26 AUG 2006,1142
60,8:25.50,,Moustafa Ahmed SHEBTO,04 JUL 1986,QAT,9,,Stockholm (SWE),25 JUL 2006,1142
61,8:25.68,,Andrey FARNOSOV,09 JUL 1980,RUS,2,,Tula (RUS),15 JUL 2006,1141
62,8:25.96,,Henrik SKOOG,17 APR 1979,SWE,10,,Stockholm (SWE),25 JUL 2006,1140
63,8:26.20,,Nahom Mesfin TARIKU,03 JUN 1989,ETH,1,,Gavá (ESP),04 JUN 2006,1139
64,8:26.53,,Rubén PALOMEQUE,14 AUG 1980,ESP,8,,"Estadio Iberoamericano, Huelva (ESP)",20 JUN 2006,1137
65,8:26.85,,Abdelgafour EL ASRI,20 JUN 1979,MAR,6,,Barcelona (ESP),10 JUN 2006,1136
66,8:27.32,,Mário TEIXEIRA,20 SEP 1974,POR,10,,"Estadio Iberoamericano, Huelva (ESP)",20 JUN 2006,1134
67,8:27.41,,Daniel HULING,16 JUL 1983,USA,3,,"Indianapolis, IN (USA)",25 JUN 2006,1134
68,8:28.04,,Abraham KEBETO,1986,ETH,2,,Gavá (ESP),04 JUN 2006,1131
69,8:28.18,,Jacques SALLBERG,24 SEP 1974,USA,4,,"Indianapolis, IN (USA)",25 JUN 2006,1130
70,8:28.24,,Tom BROOKS,10 JAN 1978,USA,5,,"Indianapolis, IN (USA)",25 JUN 2006,1130
71,8:28.25,,Adil EL OUALIDI,03 SEP 1981,FRA,3,,Strasbourg (FRA),19 JUN 2006,1130
71,8:28.25,,Mahiedine MEKHISSI,15 MAR 1985,FRA,1,,Reims (FRA),25 JUL 2006,1130
73,8:28.26,,Nikolay SPIRKIN,08 JAN 1986,RUS,1,,Kazan (RUS),09 JUL 2006,1130
