Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,7:58.85,,Ezekiel KEMBOI,25 MAY 1982,KEN,1,,Doha (QAT),08 MAY 2009,1263
2,8:00.89,,Richard Kipkemboi MATEELONG,14 OCT 1983,KEN,2,,"Olympiastadion, Berlin (GER)",18 AUG 2009,1254
3,8:01.18,,Bouabdellah TAHRI,20 DEC 1978,FRA,3,,"Olympiastadion, Berlin (GER)",18 AUG 2009,1253
4,8:01.26,,Paul Kipsiele KOECH,10 NOV 1981,KEN,4,,"Olympiastadion, Berlin (GER)",18 AUG 2009,1252
5,8:03.17,,Brimin Kiprop KIPRUTO,31 JUL 1985,KEN,1,,"Olympic Stadium, Athina (GRE)",13 JUL 2009,1243
6,8:06.13,,Tareq Mubarak TAHER,01 DEC 1986,BRN,3,,"Olympic Stadium, Athina (GRE)",13 JUL 2009,1230
7,8:06.98,,Mahiedine MEKHISSI,15 MAR 1985,FRA,2,,"FBK Stadium, Hengelo (NED)",01 JUN 2009,1226
8,8:08.48,,Michael KIPYEGO,02 OCT 1983,KEN,2,,"Stade Louis II, Monaco (MON)",28 JUL 2009,1219
9,8:08.86,,Jamel CHATBI,30 APR 1984,MAR,1,,Tanger (MAR),12 JUL 2009,1217
10,8:10.63,,Elijah CHELIMO,20 APR 1987,KEN,5,,Doha (QAT),08 MAY 2009,1209
11,8:10.67,,Jukka KESKISALO,27 MAR 1981,FIN,6,,"Letzigrund, Zürich (SUI)",28 AUG 2009,1209
12,8:11.32,,Roba GARI,12 APR 1982,ETH,4,,Thessaloniki (GRE),13 SEP 2009,1206
13,8:11.40,,Abel Kiprop MUTAI,02 OCT 1988,KEN,4,,"Olympic Stadium, Athina (GRE)",13 JUL 2009,1205
14,8:11.63,,Ruben RAMOLEFI,17 JUL 1978,RSA,3,,"Stade Louis II, Monaco (MON)",28 JUL 2009,1204
15,8:12.13,,Yacob JARSO,05 FEB 1988,ETH,5,,"Olympiastadion, Berlin (GER)",18 AUG 2009,1202
16,8:12.98,,Benjamin KIPLAGAT,04 MAR 1989,UGA,6,,Ostrava (CZE),17 JUN 2009,1198
17,8:13.83,,Chakir BOUJATTAOUI,16 JAN 1983,MAR,2,,Pescara (ITA),02 JUL 2009,1194
18,8:13.96,,Patrick Kipyegon TERER,06 JUL 1989,KEN,2,,Metz (FRA),03 JUL 2009,1194
19,8:14.45,,Wesley KIPROTICH,01 AUG 1979,KEN,6,,"Stade Louis II, Monaco (MON)",28 JUL 2009,1192
20,8:14.51,,Linus Kipwambok CHUMBA,09 FEB 1980,KEN,7,,"Olympic Stadium, Athina (GRE)",13 JUL 2009,1191
21,8:14.69,,Daniel HULING,16 JUL 1983,USA,4,,"Boudewijnstadion, Bruxelles (BEL)",04 SEP 2009,1191
22,8:15.63,,Abdellatif CHEMLAL,11 JAN 1982,MAR,8,,"Stade Louis II, Monaco (MON)",28 JUL 2009,1186
23,8:16.50,,Collins KOSGEI,04 AUG 1986,KEN,8,,Ostrava (CZE),17 JUN 2009,1182
24,8:16.51,,Eliseo MARTÍN,05 NOV 1973,ESP,9,,"Olympiastadion, Berlin (GER)",18 AUG 2009,1182
25,8:17.94,,Bernard NGANGA,17 JAN 1985,KEN,3,,Metz (FRA),03 JUL 2009,1176
26,8:18.04,,Simon AYEKO,10 MAY 1987,UGA,4,,Metz (FRA),03 JUL 2009,1175
27,8:18.44,,Mustafa MOHAMED,01 MAR 1979,SWE,6,,"Stade de France, Paris-St-Denis (FRA)",17 JUL 2009,1174
28,8:18.95,,Abubaker Ali KAMAL,08 NOV 1983,QAT,5h1,,"Olympiastadion, Berlin (GER)",16 AUG 2009,1171
29,8:19.69,,José Luis BLANCO,03 JUN 1975,ESP,4,,Barcelona (ESP),25 JUL 2009,1168
30,8:20.58,,Legesse LAMISO,13 JAN 1990,ETH,1,,"Stadion Juliska, Praha (CZE)",08 JUN 2009,1164
31,8:20.88,,Silas Kosgei KITUM,25 MAY 1990,KEN,6,,Barcelona (ESP),25 JUL 2009,1163
32,8:21.07,,Abdelkader HACHLAF,03 JUL 1979,MAR,3,,Tanger (MAR),12 JUL 2009,1162
33,8:21.32,,Tomasz SZYMKOWIAK,05 JUL 1983,POL,11,,Ostrava (CZE),17 JUN 2009,1161
34,8:21.38,,Tarik Langat AKDAG,16 JUN 1988,KEN,1,,Moskva (RUS),01 JUL 2009,1160
35,8:22.50,,Caleb NGETICH,20 JAN 1981,KEN,2,,Huelva (ESP),10 JUN 2009,1155
36,8:22.75,,Ángel MULLERA,20 APR 1984,ESP,1,,Barakaldo (ESP),10 JUL 2009,1154
37,8:22.83,,Joshua MCADAMS,26 MAR 1980,USA,3,,Heusden-Zolder (BEL),18 JUL 2009,1154
38,8:22.90,,Abraham CHIRCHIR,01 AUG 1980,KEN,8,,Barcelona (ESP),25 JUL 2009,1154
39,8:23.81,,Pieter DESMET,07 JUN 1983,BEL,4,,Heusden-Zolder (BEL),18 JUL 2009,1150
40,8:24.22,,Krijn VAN KOOLWIJK,30 AUG 1981,BEL,8h2,,"Olympiastadion, Berlin (GER)",16 AUG 2009,1148
41,8:25.11,,Wenli SUN,09 FEB 1978,CHN,1,,Jinan (CHN),21 OCT 2009,1144
42,8:25.27,,Vincent ZOUAOUI DANDRIEUX,12 OCT 1980,FRA,11,,"Stade Louis II, Monaco (MON)",28 JUL 2009,1143
43,8:25.53,,Rabie MAKHLOUFI,11 NOV 1986,ALG,10,,Barcelona (ESP),25 JUL 2009,1142
44,8:25.79,,Ivan LUKYANOV,31 JAN 1981,MDA,1,,Beograd (SRB),11 JUL 2009,1141
45,8:25.80,,Halil AKKAŞ,01 JUL 1983,TUR,2,,Beograd (SRB),11 JUL 2009,1141
46,8:26.08,,Ben BRUCE,10 SEP 1982,USA,1f1,,"Palo Alto, CA (USA)",02 MAY 2009,1139
47,8:26.16,,José Alberto CAIRO SÁNCHEZ,02 SEP 1986,CUB,1,,La Habana (CUB),19 JUN 2009,1139
48,8:26.18,,Steffen ULICZKA,17 JUL 1984,GER,3,,Beograd (SRB),11 JUL 2009,1139
49,8:26.5h,,Ezekiel KIMELI,,KEN,3,,Kakamega (KEN),18 APR 2009,1138
50,8:27.09,,Robin WATSON,23 JUN 1983,CAN,4,,"Eugene, OR (USA)",07 JUN 2009,1135
51,8:27.14,,Xiangqian LIN,27 JAN 1987,CHN,2,,Jinan (CHN),21 OCT 2009,1135
52,8:27.20,,Ildar MINSHIN,05 FEB 1985,RUS,2,,Moskva (RUS),01 JUL 2009,1134
53,8:27.53,,Alexandre GENEST,30 JUN 1986,CAN,4,,Beograd (SRB),11 JUL 2009,1133
54,8:28.1h,,Jonathan Muia NDIKU,18 SEP 1991,KEN,1,,Nairobi (KEN),16 JUN 2009,1130
55,8:28.43,,Filmon GHIRMAI,25 JAN 1979,GER,13,,Barcelona (ESP),25 JUL 2009,1129
