Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,8:50.66,,Winfred Mutile YAVI,31 DEC 1999,BRN,1,,"Hayward Field, Eugene, OR (USA)",16 SEP 2023,1268
2,8:51.67,,Beatrice CHEPKOECH,06 JUL 1991,KEN,2,,"Hayward Field, Eugene, OR (USA)",16 SEP 2023,1266
3,8:57.35,,Jackline CHEPKOECH,03 OCT 2003,KEN,1,,"Olympic Stadium, London (GBR)",23 JUL 2023,1251
4,8:59.65,,Faith CHEROTICH,13 JUL 2004,KEN,3,,"Hayward Field, Eugene, OR (USA)",16 SEP 2023,1245
5,9:00.71,,Sembo ALMAYEW,24 JAN 2005,ETH,1,,"Stadio Luigi Ridolfi, Firenze (ITA)",02 JUN 2023,1242
6,9:04.61,,Zerfe WONDEMAGEGN,26 OCT 2002,ETH,3,,"Stadio Luigi Ridolfi, Firenze (ITA)",02 JUN 2023,1233
7,9:06.15,,Alice FINOT,09 FEB 1991,FRA,5,,"Nemzeti Atlétikai Központ, Budapest (HUN)",27 AUG 2023,1229
8,9:06.37,,Maruša MIŠMAŠ ZRIMŠEK,24 OCT 1994,SLO,6,,"Nemzeti Atlétikai Központ, Budapest (HUN)",27 AUG 2023,1228
9,9:09.64,,Luiza GEGA,05 NOV 1988,ALB,4,,"Letzigrund, Zürich (SUI)",31 AUG 2023,1220
10,9:10.26,,Peruth CHEMUTAI,10 JUL 1999,UGA,7,,"Nemzeti Atlétikai Központ, Budapest (HUN)",27 AUG 2023,1218
11,9:11.09,,Mekides ABEBE,29 JAN 2001,ETH,7,,"Stadio Luigi Ridolfi, Firenze (ITA)",02 JUN 2023,1216
12,9:11.41,,Courtney WAYMENT,04 AUG 1998,USA,8,,"Stadio Luigi Ridolfi, Firenze (ITA)",02 JUN 2023,1215
13,9:11.76,,Marwa BOUZAYANI,26 MAR 1997,TUN,9,,"Stadio Luigi Ridolfi, Firenze (ITA)",02 JUN 2023,1214
14,9:12.81,,Kristlin GEAR,20 JUL 1999,USA,1,,"Hayward Field, Eugene, OR (USA)",08 JUL 2023,1212
15,9:13.60,,Emma COBURN,19 OCT 1990,USA,2,,"Hayward Field, Eugene, OR (USA)",08 JUL 2023,1210
16,9:14.66,,Lomi MULETA,29 NOV 2001,ETH,7,,"Letzigrund, Zürich (SUI)",31 AUG 2023,1207
17,9:15.31,,Parul CHAUDHARY,15 APR 1995,IND,11,,"Nemzeti Atlétikai Központ, Budapest (HUN)",27 AUG 2023,1205
18,9:15.94,,Yekaterina IVONINA,14 JUN 1994,RUS,1,,"Kalininets Stadium, Yekaterinburg (RUS)",17 AUG 2023,1204
19,9:16.10,,Aimee PRATT,03 OCT 1997,GBR,3,,"Olympic Stadium, London (GBR)",23 JUL 2023,1203
20,9:17.06,,Celestine Jepkosgei BIWOT,24 DEC 2003,KEN,2,,"Campo Scuola Moreno Martini, Lucca (ITA)",04 JUN 2023,1201
21,9:17.93,,Olivia MARKEZICH,10 AUG 2000,USA,4,,"Hayward Field, Eugene, OR (USA)",08 JUL 2023,1199
22,9:19.07,,Flavie RENOUARD,10 SEP 2000,FRA,5,,"Olympic Stadium, London (GBR)",23 JUL 2023,1196
23,9:20.04,,Irene SÁNCHEZ-ESCRIBANO,25 AUG 1992,ESP,1,,"Estadi Joan Serrahima, Barcelona (ESP)",05 JUL 2023,1193
24,9:20.08,,Olivia GÜRTH,31 MAY 2002,GER,14,,"Nemzeti Atlétikai Központ, Budapest (HUN)",27 AUG 2023,1193
25,9:20.36,,Lea MEYER,16 SEP 1997,GER,8,,"Stade Olympique de la Pontaise, Lausanne (SUI)",30 JUN 2023,1193
