Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,8:55.09,,Peruth CHEMUTAI,10 JUL 1999,UGA,1,,"Hayward Field, Eugene, OR (USA)",25 MAY 2024,1257
2,8:55.40,,Beatrice CHEPKOECH,06 JUL 1991,KEN,1,,"Egret Stadium, Xiamen (CHN)",20 APR 2024,1256
3,9:04.45,,Faith CHEROTICH,13 JUL 2004,KEN,3,,"Hayward Field, Eugene, OR (USA)",25 MAY 2024,1233
4,9:07.26,,Sembo ALMAYEW,24 JAN 2005,ETH,4,,"Hayward Field, Eugene, OR (USA)",25 MAY 2024,1226
5,9:14.29,,Valerie CONSTIEN,21 MAR 1996,USA,5,,"Hayward Field, Eugene, OR (USA)",25 MAY 2024,1208
6,9:14.48,,Courtney WAYMENT,04 AUG 1998,USA,6,,"Hayward Field, Eugene, OR (USA)",25 MAY 2024,1207
7,9:16.24,,Gesa Felicitas KRAUSE,03 AUG 1992,GER,3,,"Suzhou Olympic Sports Centre, Suzhou (CHN)",27 APR 2024,1203
8,9:17.78,,Marwa BOUZAYANI,26 MAR 1997,TUN,1,,"Stadion Śląski, Chorzów (POL)",18 MAY 2024,1199
9,9:18.03,,Gabrielle JENNINGS,15 SEP 1998,USA,7,,"Hayward Field, Eugene, OR (USA)",25 MAY 2024,1198
10,9:19.64,,Jackline CHEPKOECH,03 OCT 2003,KEN,4,,"Egret Stadium, Xiamen (CHN)",20 APR 2024,1194
11,9:20.58,,Ceili MCCABE,17 SEP 2001,CAN,1,,"Drake Stadium, Los Angeles, CA (USA)",17 MAY 2024,1192
12,9:21.00,,Kaylee MITCHELL,22 OCT 1999,USA,8,,"Hayward Field, Eugene, OR (USA)",25 MAY 2024,1191
13,9:21.62,,Winfred Mutile YAVI,31 DEC 1999,BRN,9,,"Hayward Field, Eugene, OR (USA)",25 MAY 2024,1189
14,9:21.76,,Lomi MULETA,29 NOV 2001,ETH,5,,"Egret Stadium, Xiamen (CHN)",20 APR 2024,1189
15,9:21.98,,Madie BOREMAN,10 JUL 1998,USA,2,,"Drake Stadium, Los Angeles, CA (USA)",17 MAY 2024,1189
16,9:22.31,,Doris LEMNGOLE,,KEN,1f2,,"Kentner Stadium Wake Forest University, Winston Salem, NC (USA)",19 APR 2024,1188
17,9:22.45,,Norah JERUTO,02 OCT 1995,KAZ,3,,"Drake Stadium, Los Angeles, CA (USA)",17 MAY 2024,1187
18,9:22.51,,Lea MEYER,16 SEP 1997,GER,4,,"Drake Stadium, Los Angeles, CA (USA)",17 MAY 2024,1187
19,9:22.52,,Alicja KONIECZEK,02 NOV 1994,POL,5,,"Drake Stadium, Los Angeles, CA (USA)",17 MAY 2024,1187
20,9:24.42,,Kristlin GEAR,20 JUL 1999,USA,11,,"Hayward Field, Eugene, OR (USA)",25 MAY 2024,1182
21,9:25.10,,Daisy JEPKEMEI,13 FEB 1996,KAZ,7,,"Suzhou Olympic Sports Centre, Suzhou (CHN)",27 APR 2024,1181
22,9:25.25,,Angelina ELLIS,09 AUG 1998,USA,6,,"Drake Stadium, Los Angeles, CA (USA)",17 MAY 2024,1180
23,9:25.31,,Stella RUTTO,12 DEC 1996,ROU,8,,"Suzhou Olympic Sports Centre, Suzhou (CHN)",27 APR 2024,1180
24,9:25.53,,Frehiwot GESESE,01 JAN 2006,ETH,6,,"Egret Stadium, Xiamen (CHN)",20 APR 2024,1180
25,9:26.12,,Regan YEE,04 JUL 1995,CAN,9,,"Suzhou Olympic Sports Centre, Suzhou (CHN)",27 APR 2024,1178
26,9:26.23,,Logan JOLLY,07 JUL 1998,USA,7,,"Drake Stadium, Los Angeles, CA (USA)",17 MAY 2024,1178
27,9:26.40,,Luiza GEGA,05 NOV 1988,ALB,1,,"Atatürk Stadyumu, Izmir (TUR)",25 MAY 2024,1177
28,9:26.55,,Lexy HALLADAY,23 JUL 2001,USA,1f1,,"Cougar Athletic Stadium, Azusa, CA (USA)",11 APR 2024,1177
29,9:26.83,,Chiara SCHERRER,24 JAN 1996,SUI,1f1,,"Boudewijnstadion, Bruxelles (BEL)",26 MAY 2024,1176
30,9:26.85,,Amy CASHIN,28 JUL 1994,AUS,8,,"Drake Stadium, Los Angeles, CA (USA)",17 MAY 2024,1176
31,9:27.54,,Carolina ROBLES,04 DEC 1991,ESP,2,,"Stadion Śląski, Chorzów (POL)",18 MAY 2024,1175
32,9:27.69,,Irene SÁNCHEZ-ESCRIBANO,25 AUG 1992,ESP,3,,"Stadion Śląski, Chorzów (POL)",18 MAY 2024,1174
33,9:28.17,,Gracie HYDE,,USA,2f1,,"Cougar Athletic Stadium, Azusa, CA (USA)",11 APR 2024,1173
