Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,12:48.45,,Jakob INGEBRIGTSEN,19 SEP 2000,NOR,1,,"Stadio Luigi Ridolfi, Firenze (ITA)",10 JUN 2021,1252
2,12:49.02,,Hagos GEBRHIWET,11 MAY 1994,ETH,2,,"Stadio Luigi Ridolfi, Firenze (ITA)",10 JUN 2021,1250
3,12:50.12,,Mohammed AHMED,05 JAN 1991,CAN,3,,"Stadio Luigi Ridolfi, Firenze (ITA)",10 JUN 2021,1246
4,12:50.79,,Mohamed KATIR,17 FEB 1998,ESP,4,,"Stadio Luigi Ridolfi, Firenze (ITA)",10 JUN 2021,1244
5,12:51.93,,Justyn KNIGHT,19 JUL 1996,CAN,5,,"Stadio Luigi Ridolfi, Firenze (ITA)",10 JUN 2021,1239
6,12:53.28,,Getnet WALE,16 JUL 2000,ETH,1,,"FBK Stadium, Hengelo (NED)",08 JUN 2021,1234
7,12:54.22,,Nibret MELAK,09 OCT 1999,ETH,2,,"FBK Stadium, Hengelo (NED)",08 JUN 2021,1231
8,12:54.69,,Joshua CHEPTEGEI,12 SEP 1996,UGA,6,,"Stadio Luigi Ridolfi, Firenze (ITA)",10 JUN 2021,1229
9,12:55.60,,Jacob KIPLIMO,14 NOV 2000,UGA,1,,"Stadion Allmend, Luzern (SUI)",29 JUN 2021,1226
10,12:55.88,,Daniel Simiu EBENYO,18 SEP 1995,KEN,2,,"Stadion Allmend, Luzern (SUI)",29 JUN 2021,1225
11,12:57.71,,Birhanu BALEW,27 FEB 1996,BRN,7,,"Stadio Luigi Ridolfi, Firenze (ITA)",10 JUN 2021,1218
12,12:58.28,,Milkesa MENGESHA,16 APR 2000,ETH,3,,"FBK Stadium, Hengelo (NED)",08 JUN 2021,1216
13,12:58.99,,Addisu YIHUNE,17 MAR 2003,ETH,4,,"FBK Stadium, Hengelo (NED)",08 JUN 2021,1213
14,12:59.05,,Paul CHELIMO,27 OCT 1990,USA,3,,"National Stadium, Tokyo (JPN)",06 AUG 2021,1213
15,12:59.17,,Nicholas KIPKORIR,29 SEP 1998,KEN,4,,"National Stadium, Tokyo (JPN)",06 AUG 2021,1213
16,13:01.68,,Mark Owon LOMUKET,10 JAN 1999,KEN,1,,"Campo Sportivo Putti, Bergamo (ITA)",12 MAY 2021,1203
