Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,1:56.30,Athing MU,08 JUN 2002,USA,1,,"Hayward Field, Eugene, OR (USA)",24 JUL 2022,1229
2,1:56.38,Keely HODGKINSON,03 MAR 2002,GBR,2,,"Hayward Field, Eugene, OR (USA)",24 JUL 2022,1228
3,1:56.71,Mary MORAA,15 JUN 2000,KEN,3,,"Hayward Field, Eugene, OR (USA)",24 JUL 2022,1222
4,1:56.98,Natoya GOULE,30 MAR 1991,JAM,1,,"Stade Louis II, Monaco (MON)",10 AUG 2022,1217
5,1:57.01,Athing MU,08 JUN 2002,USA,1,,"Stadio Olimpico, Roma (ITA)",09 JUN 2022,1216
6,1:57.02,Diribe WELTEJI,13 MAY 2002,ETH,4,,"Hayward Field, Eugene, OR (USA)",24 JUL 2022,1216
7,1:57.07,Mary MORAA,15 JUN 2000,KEN,1,,"Alexander Stadium, Birmingham (GBR)",06 AUG 2022,1215
8,1:57.16,Athing MU,08 JUN 2002,USA,1,,"Hayward Field, Eugene, OR (USA)",26 JUN 2022,1214
9,1:57.23,Ajee WILSON,08 MAY 1994,USA,2,,"Hayward Field, Eugene, OR (USA)",26 JUN 2022,1212
10,1:57.40,Keely HODGKINSON,03 MAR 2002,GBR,2,,"Alexander Stadium, Birmingham (GBR)",06 AUG 2022,1209
11,1:57.45,Mary MORAA,15 JUN 2000,KEN,1,,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",24 JUN 2022,1208
12,1:57.55,Athing MU,08 JUN 2002,USA,1sf2,,"Hayward Field, Eugene, OR (USA)",24 JUN 2022,1206
13,1:57.63,Mary MORAA,15 JUN 2000,KEN,1,,"Letzigrund, Zürich (SUI)",08 SEP 2022,1205
14,1:57.68,Mary MORAA,15 JUN 2000,KEN,1,,"Olympiastadion, Stockholm (SWE)",30 JUN 2022,1204
15,1:57.71,Keely HODGKINSON,03 MAR 2002,GBR,1,,"Bislett Stadion, Oslo (NOR)",16 JUN 2022,1204
16,1:57.72,Keely HODGKINSON,03 MAR 2002,GBR,1,,"Hayward Field, Eugene, OR (USA)",28 MAY 2022,1203
17,1:57.84,Rénelle LAMOTE,26 DEC 1993,FRA,1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",26 AUG 2022,1201
18,1:57.85,Sage HURTA,23 JUN 1998,USA,2,,"Stade Louis II, Monaco (MON)",10 AUG 2022,1201
18,1:57.85,Natoya GOULE,30 MAR 1991,JAM,2,,"Letzigrund, Zürich (SUI)",08 SEP 2022,1201
20,1:57.87,Laura MUIR,09 MAY 1993,GBR,3,,"Alexander Stadium, Birmingham (GBR)",06 AUG 2022,1201
21,1:57.88,Natoya GOULE,30 MAR 1991,JAM,4,,"Alexander Stadium, Birmingham (GBR)",06 AUG 2022,1200
22,1:57.90,Natoya GOULE,30 MAR 1991,JAM,5,,"Hayward Field, Eugene, OR (USA)",24 JUL 2022,1200
