Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,3:49.87,Timothy CHERUIYOT,20 NOV 1995,KEN,1f1,,"Hayward Field, Eugene, OR (USA)",26 MAY 2018,1202
2,3:51.26,Samuel TEFERA,23 OCT 1999,ETH,2f1,,"Hayward Field, Eugene, OR (USA)",26 MAY 2018,1184
3,3:52.18,Elijah Motonei MANANGOI,05 JAN 1993,KEN,3f1,,"Hayward Field, Eugene, OR (USA)",26 MAY 2018,1173
4,3:52.28,Jakob INGEBRIGTSEN,19 SEP 2000,NOR,4f1,,"Hayward Field, Eugene, OR (USA)",26 MAY 2018,1171
5,3:53.40,Clayton MURPHY,26 FEB 1995,USA,5f1,,"Hayward Field, Eugene, OR (USA)",26 MAY 2018,1157
6,3:53.61,Matthew CENTROWITZ,18 OCT 1989,USA,6f1,,"Hayward Field, Eugene, OR (USA)",26 MAY 2018,1154
7,3:53.86,Lopez LOMONG,01 JAN 1985,USA,1,,"Raleigh, NC (USA)",03 AUG 2018,1151
8,3:54.53,John GREGOREK,07 DEC 1991,USA,2,,"Raleigh, NC (USA)",03 AUG 2018,1143
9,3:54.60,Bethwell BIRGEN,06 AUG 1988,KEN,7f1,,"Hayward Field, Eugene, OR (USA)",26 MAY 2018,1142
9,3:54.60,Stewart MCSWEYN,01 JUN 1995,AUS,1,,"Alexander Stadium, Birmingham (GBR)",18 AUG 2018,1142
11,3:54.64,Samuel PRAKEL,29 OCT 1994,USA,3,,"Raleigh, NC (USA)",03 AUG 2018,1141
12,3:54.66,Patrick CASEY,23 MAY 1990,USA,4,,"Raleigh, NC (USA)",03 AUG 2018,1141
13,3:54.88,Ben BLANKENSHIP,15 DEC 1988,USA,5,,"Raleigh, NC (USA)",03 AUG 2018,1138
14,3:54.94,John GREGOREK,07 DEC 1991,USA,1,,"Philadelphia, PA (USA)",28 APR 2018,1137
15,3:55.10,Ryan GREGSON,26 APR 1990,AUS,2,,"Alexander Stadium, Birmingham (GBR)",18 AUG 2018,1135
16,3:55.12,Craig ENGELS,01 MAY 1994,USA,6,,"Raleigh, NC (USA)",03 AUG 2018,1135
17,3:55.21,Sean MCGORTY,08 MAR 1995,USA,7,,"Raleigh, NC (USA)",03 AUG 2018,1134
18,3:55.43,Eric AVILA,03 OCT 1989,USA,1,,"Memphis, TN (USA)",25 AUG 2018,1131
19,3:55.48,Ryan HILL,31 JAN 1990,USA,2,,"Memphis, TN (USA)",25 AUG 2018,1131
20,3:55.51,Craig ENGELS,01 MAY 1994,USA,3,,"Memphis, TN (USA)",25 AUG 2018,1130
21,3:55.53,Chris O'HARE,23 NOV 1990,GBR,1,,"Bay Shore, NY (USA)",05 SEP 2018,1130
22,3:55.67,John GREGOREK,07 DEC 1991,USA,4,,"Memphis, TN (USA)",25 AUG 2018,1128
23,3:55.80,Samuel PRAKEL,29 OCT 1994,USA,1,,Dublin (IRL),19 JUL 2018,1127
24,3:55.81,Colby ALEXANDER,13 JUN 1991,USA,1,,"West Long Branch, NJ (USA)",31 JUL 2018,1127
25,3:55.87,Ayanleh SOULEIMAN,03 DEC 1992,DJI,8f1,,"Hayward Field, Eugene, OR (USA)",26 MAY 2018,1126
26,3:55.91,Hassan MEAD,28 AUG 1989,USA,8,,"Raleigh, NC (USA)",03 AUG 2018,1125
27,3:55.96,Paul CHELIMO,27 OCT 1990,USA,3,,"Alexander Stadium, Birmingham (GBR)",18 AUG 2018,1125
28,3:55.97,Charlie MARQUARDT,,USA,9,,"Raleigh, NC (USA)",03 AUG 2018,1125
29,3:56.02,Tripp HURT,30 OCT 1992,USA,5,,"Memphis, TN (USA)",25 AUG 2018,1124
30,3:56.03,Thiago ANDRÉ,04 AUG 1995,BRA,9f1,,"Hayward Field, Eugene, OR (USA)",26 MAY 2018,1124
31,3:56.07,Colby ALEXANDER,13 JUN 1991,USA,2,,"Philadelphia, PA (USA)",28 APR 2018,1123
32,3:56.09,Samuel PRAKEL,29 OCT 1994,USA,1,,Cork (IRL),16 JUL 2018,1123
33,3:56.17,Vincent KIBET,06 MAY 1991,KEN,4,,"Alexander Stadium, Birmingham (GBR)",18 AUG 2018,1122
34,3:56.21,Cristian SORATOS,26 SEP 1992,USA,1,,Mt. Pleasant (USA),14 JUL 2018,1122
35,3:56.23,Riley MASTERS,05 APR 1990,USA,6,,"Memphis, TN (USA)",25 AUG 2018,1121
36,3:56.42,Graham CRAWFORD,29 DEC 1992,USA,7,,"Memphis, TN (USA)",25 AUG 2018,1119
37,3:56.49,Aman WOTE,18 APR 1984,ETH,10f1,,"Hayward Field, Eugene, OR (USA)",26 MAY 2018,1118
38,3:56.58,Lopez LOMONG,01 JAN 1985,USA,2,,Dublin (IRL),19 JUL 2018,1117
39,3:56.62,Charles PHILIBERT-THIBOUTOT,31 DEC 1990,CAN,2,,"Bay Shore, NY (USA)",05 SEP 2018,1116
40,3:56.66,Robert DOMANIC,10 MAR 1995,USA,10,,"Raleigh, NC (USA)",03 AUG 2018,1116
41,3:56.67,Ben BLANKENSHIP,15 DEC 1988,USA,11f1,,"Hayward Field, Eugene, OR (USA)",26 MAY 2018,1116
42,3:56.72,Andrew HUNTER,05 SEP 1997,USA,1,,"Cambridge, MA (USA)",19 MAY 2018,1115
43,3:56.77,Nick WILLIS,25 APR 1983,NZL,5,,"Alexander Stadium, Birmingham (GBR)",18 AUG 2018,1114
43,3:56.77,Colby ALEXANDER,13 JUN 1991,USA,8,,"Memphis, TN (USA)",25 AUG 2018,1114
45,3:56.79,Graham CRAWFORD,29 DEC 1992,USA,11,,"Raleigh, NC (USA)",03 AUG 2018,1114
46,3:56.86,Drew PIAZZA,28 JAN 1995,USA,1,,"Concord, MA (USA)",07 JUN 2018,1113
46,3:56.86,Henry WYNNE,18 APR 1995,USA,3,,Dublin (IRL),19 JUL 2018,1113
48,3:56.90,Mick STANOVSEK,16 JAN 1997,USA,4,,Dublin (IRL),19 JUL 2018,1113
49,3:56.92,Jordan WILLIAMSZ,21 AUG 1992,AUS,6,,"Alexander Stadium, Birmingham (GBR)",18 AUG 2018,1113
50,3:56.95,Elijah Motonei MANANGOI,05 JAN 1993,KEN,1,,"Bislett Stadion, Oslo (NOR)",07 JUN 2018,1112
50,3:56.95,Drew PIAZZA,28 JAN 1995,USA,2,,Cork (IRL),16 JUL 2018,1112
52,3:56.97,Charlie DA'VALL GRICE,07 NOV 1993,GBR,7,,"Alexander Stadium, Birmingham (GBR)",18 AUG 2018,1112
53,3:57.02,Luke MATHEWS,21 JUN 1995,AUS,1f2,,"Hayward Field, Eugene, OR (USA)",26 MAY 2018,1111
54,3:57.05,Sam MCENTEE,03 FEB 1992,AUS,3,,Cork (IRL),16 JUL 2018,1111
55,3:57.06,Hamish CARSON,01 NOV 1988,NZL,4,,Cork (IRL),16 JUL 2018,1111
56,3:57.07,Jacob THOMSON,29 NOV 1994,USA,12,,"Raleigh, NC (USA)",03 AUG 2018,1111
57,3:57.11,Neil GOURLEY,07 FEB 1995,GBR,8,,"Alexander Stadium, Birmingham (GBR)",18 AUG 2018,1110
58,3:57.16,Eric AVILA,03 OCT 1989,USA,5,,Dublin (IRL),19 JUL 2018,1110
59,3:57.17,Chris O'HARE,23 NOV 1990,GBR,2,,"Cambridge, MA (USA)",19 MAY 2018,1109
60,3:57.20,Neil GOURLEY,07 FEB 1995,GBR,3,,"Bay Shore, NY (USA)",05 SEP 2018,1109
61,3:57.29,Andrew HUNTER,05 SEP 1997,USA,2f2,,"Hayward Field, Eugene, OR (USA)",26 MAY 2018,1108
61,3:57.29,Ben BLANKENSHIP,15 DEC 1988,USA,4,,"Bay Shore, NY (USA)",05 SEP 2018,1108
63,3:57.33,Ismael DEBJANI,25 SEP 1990,BEL,9,,"Alexander Stadium, Birmingham (GBR)",18 AUG 2018,1107
64,3:57.34,John TRAVERS,16 MAR 1991,IRL,6,,Dublin (IRL),19 JUL 2018,1107
65,3:57.35,Leonel MANZANO,12 SEP 1984,USA,2,,"Concord, MA (USA)",07 JUN 2018,1107
66,3:57.42,Corey BELLEMORE,01 DEC 1994,CAN,5,,Cork (IRL),16 JUL 2018,1106
67,3:57.48,Rob NAPOLITANO,03 NOV 1994,USA,2,,"West Long Branch, NJ (USA)",31 JUL 2018,1106
68,3:57.61,Henry WYNNE,18 APR 1995,USA,3f2,,"Hayward Field, Eugene, OR (USA)",26 MAY 2018,1104
68,3:57.61,Daniel HERRERA,29 NOV 1992,USA,9,,"Memphis, TN (USA)",25 AUG 2018,1104
70,3:57.65,Rob NAPOLITANO,03 NOV 1994,USA,5,,"Bay Shore, NY (USA)",05 SEP 2018,1104
71,3:57.69,David TIMLIN,10 JUN 1994,USA,3,,"Concord, MA (USA)",07 JUN 2018,1103
71,3:57.69,Willy FINK,07 MAR 1994,USA,2,,Mt. Pleasant (USA),14 JUL 2018,1103
73,3:57.74,Kyle MERBER,19 NOV 1990,USA,1,,"Santa Barbara, CA (USA)",13 APR 2018,1102
74,3:57.75,Benjamin FLANAGAN,11 JAN 1995,CAN,6,,"Bay Shore, NY (USA)",05 SEP 2018,1102
75,3:57.82,Hamish CARSON,01 NOV 1988,NZL,7,,Dublin (IRL),19 JUL 2018,1101
76,3:57.83,Ben TRUE,29 DEC 1985,USA,6,,Cork (IRL),16 JUL 2018,1101
77,3:57.91,Eric AVILA,03 OCT 1989,USA,2,,"Santa Barbara, CA (USA)",13 APR 2018,1100
78,3:57.92,Fernando Daniel MARTÍNEZ,30 MAY 1993,MEX,3,,"Santa Barbara, CA (USA)",13 APR 2018,1100
78,3:57.92,Taresa TOLOSA,15 JUN 1998,ETH,2,,"Bislett Stadion, Oslo (NOR)",07 JUN 2018,1100
80,3:57.97,Filip INGEBRIGTSEN,20 APR 1993,NOR,3,,"Bislett Stadion, Oslo (NOR)",07 JUN 2018,1100
81,3:57.98,Mick STANOVSEK,16 JAN 1997,USA,7,,Cork (IRL),16 JUL 2018,1099
82,3:58.00,Fouad EL KAAM,27 MAY 1988,MAR,4f2,,"Hayward Field, Eugene, OR (USA)",26 MAY 2018,1099
82,3:58.00,Younéss ESSALHI,20 FEB 1993,MAR,4,,"Bislett Stadion, Oslo (NOR)",07 JUN 2018,1099
84,3:58.04,Izaic YORKS,17 APR 1994,USA,5f2,,"Hayward Field, Eugene, OR (USA)",26 MAY 2018,1099
85,3:58.08,Travis MAHONEY,25 JUL 1990,USA,3,,Mt. Pleasant (USA),14 JUL 2018,1098
86,3:58.09,David RIBICH,27 DEC 1995,USA,8,,Dublin (IRL),19 JUL 2018,1098
87,3:58.12,Riley MASTERS,05 APR 1990,USA,6f2,,"Hayward Field, Eugene, OR (USA)",26 MAY 2018,1098
88,3:58.26,Sam MCENTEE,03 FEB 1992,AUS,1,,"Atlanta, GA (USA)",22 MAY 2018,1096
88,3:58.26,Patrick CASEY,23 MAY 1990,USA,7f2,,"Hayward Field, Eugene, OR (USA)",26 MAY 2018,1096
90,3:58.38,Colby ALEXANDER,13 JUN 1991,USA,8f2,,"Hayward Field, Eugene, OR (USA)",26 MAY 2018,1094
91,3:58.43,Neil GOURLEY,07 FEB 1995,GBR,2,,"Atlanta, GA (USA)",22 MAY 2018,1094
92,3:58.46,Henrik INGEBRIGTSEN,24 FEB 1991,NOR,5,,"Bislett Stadion, Oslo (NOR)",07 JUN 2018,1093
93,3:58.47,Ryan GREGSON,26 APR 1990,AUS,6,,"Bislett Stadion, Oslo (NOR)",07 JUN 2018,1093
93,3:58.47,Daniel HERRERA,29 NOV 1992,USA,7,,"Bay Shore, NY (USA)",05 SEP 2018,1093
95,3:58.51,Eric AVILA,03 OCT 1989,USA,9f2,,"Hayward Field, Eugene, OR (USA)",26 MAY 2018,1093
96,3:58.54,Tripp HURT,30 OCT 1992,USA,1,,St. Louis (USA),31 MAY 2018,1092
97,3:58.60,Sam ATKIN,14 MAR 1993,GBR,2,,St. Louis (USA),31 MAY 2018,1092
98,3:58.61,Charlie DA'VALL GRICE,07 NOV 1993,GBR,8,,"Bay Shore, NY (USA)",05 SEP 2018,1092
99,3:58.62,Andrew HUNTER,05 SEP 1997,USA,10,,"Alexander Stadium, Birmingham (GBR)",18 AUG 2018,1091
100,3:58.68,Rob NAPOLITANO,03 NOV 1994,USA,4,,"Concord, MA (USA)",07 JUN 2018,1091
101,3:58.70,Blake HANEY,29 MAR 1996,USA,10f2,,"Hayward Field, Eugene, OR (USA)",26 MAY 2018,1090
102,3:58.72,Henrik INGEBRIGTSEN,24 FEB 1991,NOR,11f2,,"Hayward Field, Eugene, OR (USA)",26 MAY 2018,1090
103,3:58.74,James Kiplagat MAGUT,20 JUL 1990,KEN,12f2,,"Hayward Field, Eugene, OR (USA)",26 MAY 2018,1090
103,3:58.74,Elmar ENGHOLM,02 OCT 1992,SWE,9,,Dublin (IRL),19 JUL 2018,1090
105,3:58.79,Matthew RAMSDEN,23 JUL 1997,AUS,8,,Cork (IRL),16 JUL 2018,1089
106,3:58.80,Ford PALMER,06 OCT 1990,USA,3,,"West Long Branch, NJ (USA)",31 JUL 2018,1089
107,3:58.81,Eric AVILA,03 OCT 1989,USA,1,,"Des Moines, IA (USA)",28 APR 2018,1089
108,3:58.83,Andrew HUNTER,05 SEP 1997,USA,2,,"Des Moines, IA (USA)",28 APR 2018,1089
109,3:58.88,Nick HARRIS,31 MAY 1994,USA,3,,St. Louis (USA),31 MAY 2018,1088
