Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,4:14.30,Genzebe DIBABA,08 FEB 1991,ETH,1,,Rovereto (ITA),06 SEP 2016,1235
2,4:18.60,Faith KIPYEGON,10 JAN 1994,KEN,1,,"Bislett Stadion, Oslo (NOR)",09 JUN 2016,1203
3,4:19.12,Laura MUIR,09 MAY 1993,GBR,2,,"Bislett Stadion, Oslo (NOR)",09 JUN 2016,1199
4,4:25.04,Lauren JOHNSON,04 MAY 1987,USA,1,,"Raleigh, NC (USA)",05 AUG 2016,1155
5,4:25.26,Meraf BAHTA,24 JUN 1989,SWE,3,,"Bislett Stadion, Oslo (NOR)",09 JUN 2016,1154
6,4:25.34,Sofia ENNAOUI,30 AUG 1995,POL,4,,"Bislett Stadion, Oslo (NOR)",09 JUN 2016,1153
7,4:25.39,Angelika CICHOCKA,15 MAR 1988,POL,5,,"Bislett Stadion, Oslo (NOR)",09 JUN 2016,1153
8,4:25.48,Katie MACKEY,12 NOV 1987,USA,1,,Dublin (IRL),22 JUL 2016,1152
9,4:25.50,Sifan HASSAN,01 JAN 1993,NED,2,,Rovereto (ITA),06 SEP 2016,1152
10,4:25.64,Amanda ECCLESTON,18 JUN 1990,USA,2,,"Raleigh, NC (USA)",05 AUG 2016,1151
11,4:26.23,Karoline Bjerkeli GRØVDAL,14 JUN 1990,NOR,6,,"Bislett Stadion, Oslo (NOR)",09 JUN 2016,1146
12,4:26.87,Amanda ECCLESTON,18 JUN 1990,USA,1,,"South Huntington, NY (USA)",31 AUG 2016,1142
13,4:27.23,Heather KAMPF,19 JAN 1987,USA,3,,"Raleigh, NC (USA)",05 AUG 2016,1139
14,4:27.33,Heather KAMPF,19 JAN 1987,USA,2,,Dublin (IRL),22 JUL 2016,1138
15,4:27.39,Alexa EFRAIMSON,20 FEB 1997,USA,3,,Rovereto (ITA),06 SEP 2016,1138
16,4:28.13,Federica DEL BUONO,12 DEC 1994,ITA,4,,Rovereto (ITA),06 SEP 2016,1133
17,4:28.18,Lauren JOHNSON,04 MAY 1987,USA,2,,"South Huntington, NY (USA)",31 AUG 2016,1132
18,4:28.45,Shannon OSIKA,15 JUN 1993,USA,3,,"South Huntington, NY (USA)",31 AUG 2016,1130
19,4:28.55,Cory Ann MCGEE,29 MAY 1992,USA,3,,Dublin (IRL),22 JUL 2016,1130
20,4:28.66,Cory Ann MCGEE,29 MAY 1992,USA,4,,"Raleigh, NC (USA)",05 AUG 2016,1129
21,4:28.82,Violah CHEPTOO,01 MAR 1989,KEN,5,,Rovereto (ITA),06 SEP 2016,1128
22,4:29.06,Stephanie BROWN,04 MAR 1991,USA,5,,"Raleigh, NC (USA)",05 AUG 2016,1126
23,4:29.29,Judith KIYENG,10 DEC 1993,KEN,6,,Rovereto (ITA),06 SEP 2016,1124
24,4:29.55,Emily Cherotich TUEI,13 MAY 1986,KEN,7,,Rovereto (ITA),06 SEP 2016,1122
25,4:29.58,Gesa Felicitas KRAUSE,03 AUG 1992,GER,7,,"Bislett Stadion, Oslo (NOR)",09 JUN 2016,1122
26,4:29.59,Axumawit EMBAYE,18 OCT 1994,ETH,8,,"Bislett Stadion, Oslo (NOR)",09 JUN 2016,1122
27,4:29.73,Katie MACKEY,12 NOV 1987,USA,1,,"Falmouth, MA (USA)",20 AUG 2016,1121
28,4:29.78,Nicole TULLY,30 OCT 1986,USA,6,,"Raleigh, NC (USA)",05 AUG 2016,1121
29,4:30.04,Axumawit EMBAYE,18 OCT 1994,ETH,8,,Rovereto (ITA),06 SEP 2016,1119
30,4:30.07,Stephanie SCHAPPERT,25 APR 1993,USA,4,,Dublin (IRL),22 JUL 2016,1119
31,4:30.62,Shannon OSIKA,15 JUN 1993,USA,7,,"Raleigh, NC (USA)",05 AUG 2016,1115
32,4:30.67,Nancy CHEPKWEMOI,08 OCT 1993,KEN,9,,"Bislett Stadion, Oslo (NOR)",09 JUN 2016,1114
33,4:30.74,Nicole TULLY,30 OCT 1986,USA,4,,"South Huntington, NY (USA)",31 AUG 2016,1114
34,4:30.86,Darya BARYSEVICH,06 APR 1990,BLR,9,,Rovereto (ITA),06 SEP 2016,1113
35,4:30.93,Zoe BUCKMAN,21 DEC 1988,AUS,10,,Rovereto (ITA),06 SEP 2016,1112
36,4:30.95,Stephanie BROWN,04 MAR 1991,USA,5,,"South Huntington, NY (USA)",31 AUG 2016,1112
37,4:30.97,Morgan UCENY,10 MAR 1985,USA,2,,"Falmouth, MA (USA)",20 AUG 2016,1112
38,4:31.16,Nikki HAMBLIN,20 MAY 1988,NZL,5,,Dublin (IRL),22 JUL 2016,1111
39,4:31.23,Aisha PRAUGHT-LEER,14 DEC 1989,JAM,11,,Rovereto (ITA),06 SEP 2016,1110
40,4:31.29,Heather KAMPF,19 JAN 1987,USA,3,,"Falmouth, MA (USA)",20 AUG 2016,1110
41,4:31.33,Lauren JOHNSON,04 MAY 1987,USA,1,,"West Chester, PA (USA)",11 AUG 2016,1109
42,4:31.57,Ingvill MÅKESTAD BOVIM,07 AUG 1981,NOR,10,,"Bislett Stadion, Oslo (NOR)",09 JUN 2016,1108
43,4:31.72,Rachel SCHNEIDER,18 JUL 1991,USA,6,,"South Huntington, NY (USA)",31 AUG 2016,1107
44,4:32.41,Rachel SCHNEIDER,18 JUL 1991,USA,8,,"Raleigh, NC (USA)",05 AUG 2016,1102
45,4:32.44,Nicole TULLY,30 OCT 1986,USA,2,,"West Chester, PA (USA)",11 AUG 2016,1102
46,4:32.6h,Genevieve LACAZE,04 AUG 1989,AUS,1f1,,Melbourne (AUS),23 FEB 2016,1100
47,4:32.72,Brianna FELNAGLE,09 DEC 1986,USA,1,,"Concord, MA (USA)",02 JUN 2016,1100
48,4:32.76,Cory Ann MCGEE,29 MAY 1992,USA,4,,"Falmouth, MA (USA)",20 AUG 2016,1099
49,4:33.00,Rachel SCHNEIDER,18 JUL 1991,USA,3,,"West Chester, PA (USA)",11 AUG 2016,1098
50,4:33.48,Hannah ENGLAND,06 MAR 1987,GBR,6,,Dublin (IRL),22 JUL 2016,1094
51,4:33.50,Lianne FARBER,12 JUN 1992,USA,9,,"Raleigh, NC (USA)",05 AUG 2016,1094
52,4:33.57,Ajee WILSON,08 MAY 1994,USA,7,,"South Huntington, NY (USA)",31 AUG 2016,1093
53,4:33.72,Morgan UCENY,10 MAR 1985,USA,10,,"Raleigh, NC (USA)",05 AUG 2016,1092
54,4:33.83,Emily LIPARI,19 NOV 1992,USA,2,,"Concord, MA (USA)",02 JUN 2016,1092
55,4:33.88,Nuria FERNÁNDEZ,16 AUG 1976,ESP,11,,"Bislett Stadion, Oslo (NOR)",09 JUN 2016,1091
56,4:33.90,Ashley HIGGINSON,17 MAR 1989,USA,1,,"Philadelphia, PA (USA)",30 APR 2016,1091
57,4:33.95,Emily LIPARI,19 NOV 1992,USA,4,,"West Chester, PA (USA)",11 AUG 2016,1091
