Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,8:45.52,Connor BURNS,,USA,1,,"UW Husky Track, Seattle, WA (USA)",15 JUN 2022,1011
2,8:46.97,Rocky HANSEN,,USA,1f3,,"Franklin Field, Philadelphia, PA (USA)",17 JUN 2022,1003
3,8:50.88,Heath MCALLISTER,05 MAR 2004,CAN,2f3,,"Franklin Field, Philadelphia, PA (USA)",17 JUN 2022,982
4,8:52.04,Aidan PUFFER,,USA,3f3,,"Franklin Field, Philadelphia, PA (USA)",17 JUN 2022,976
5,8:52.85,Michael MAIORANO,09 JUN 2004,USA,2,,"UW Husky Track, Seattle, WA (USA)",15 JUN 2022,972
5,8:52.85,Jaron HARTSHORN,,USA,3,,"UW Husky Track, Seattle, WA (USA)",15 JUN 2022,972
7,8:53.85,Willia SCHNEIDER,,USA,4,,"UW Husky Track, Seattle, WA (USA)",15 JUN 2022,967
8,8:54.42,Myles HOGAN,,USA,1f3,,"Hayward Field, Eugene, OR (USA)",18 JUN 2022,964
9,8:54.53,Noah BREKER,,USA,2f3,,"Hayward Field, Eugene, OR (USA)",18 JUN 2022,963
10,8:54.86,Charlie NORTH,,USA,3f3,,"Hayward Field, Eugene, OR (USA)",18 JUN 2022,962
11,8:54.93,Zack MUNSON,,USA,5,,"UW Husky Track, Seattle, WA (USA)",15 JUN 2022,961
12,8:54.97,Keegan SMITH,,USA,6,,"UW Husky Track, Seattle, WA (USA)",15 JUN 2022,961
13,8:56.41,Jimmy WISCHUSEN,,USA,4f3,,"Franklin Field, Philadelphia, PA (USA)",17 JUN 2022,954
14,8:56.92,Luke VENHUIZEN,,USA,4f3,,"Hayward Field, Eugene, OR (USA)",18 JUN 2022,951
15,8:58.49,Colton KEMPNEY,,USA,5f3,,"Franklin Field, Philadelphia, PA (USA)",17 JUN 2022,943
16,8:58.52,Kutoven STEVENS,,USA,5f3,,"Hayward Field, Eugene, OR (USA)",18 JUN 2022,943
17,8:58.75,Zachary AYERS,,USA,6f3,,"Hayward Field, Eugene, OR (USA)",18 JUN 2022,941
18,8:59.52,Will CONWAY,,USA,1f2,,"Franklin Field, Philadelphia, PA (USA)",17 JUN 2022,938
19,8:59.70,Nathan ATCHUE,,USA,1f2,,"Hayward Field, Eugene, OR (USA)",18 JUN 2022,937
20,9:00.54,Rendon KUYKENDALL,,USA,7f3,,"Hayward Field, Eugene, OR (USA)",18 JUN 2022,932
21,9:00.60,Sahil DODDA,,USA,2f2,,"Franklin Field, Philadelphia, PA (USA)",17 JUN 2022,932
