Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,9:00.75,Francine NIYONSABA,05 MAY 1993,BDI,1,,"Hayward Field, Eugene, OR (USA)",20 AUG 2021,1231
2,9:06.74,Letesenbet GIDEY,20 MAR 1998,ETH,2,,"Hayward Field, Eugene, OR (USA)",20 AUG 2021,1211
3,9:14.55,Hellen OBIRI,13 DEC 1989,KEN,3,,"Hayward Field, Eugene, OR (USA)",20 AUG 2021,1186
4,9:18.16,Konstanze KLOSTERHALFEN,18 FEB 1997,GER,4,,"Hayward Field, Eugene, OR (USA)",20 AUG 2021,1175
5,9:21.98,Amy-Eloise MARKOVC,05 AUG 1995,GBR,5,,"Hayward Field, Eugene, OR (USA)",20 AUG 2021,1163
6,9:22.44,Elise CRANNY,09 MAY 1996,USA,6,,"Hayward Field, Eugene, OR (USA)",20 AUG 2021,1161
7,9:40.82,Katie WASSERMAN,08 APR 1998,USA,7,,"Hayward Field, Eugene, OR (USA)",20 AUG 2021,1104
8,9:40.86,Caroline Chepkoech KIPKIRUI,26 MAY 1994,KEN,8,,"Hayward Field, Eugene, OR (USA)",20 AUG 2021,1104
9,9:41.79,Katie RAINSBERGER,18 AUG 1998,USA,9,,"Hayward Field, Eugene, OR (USA)",20 AUG 2021,1101
10,9:55.94,Taryn RAWLINGS,17 APR 1996,USA,10,,"Hayward Field, Eugene, OR (USA)",20 AUG 2021,1058
11,10:02.88,Audrey DADAMIO,,USA,1,,"Renton Memorial Stadium, Seattle, WA (USA)",02 JUL 2021,1037
12,10:06.14,Charlotte BEDNAR,15 APR 2004,USA,2,,"Renton Memorial Stadium, Seattle, WA (USA)",02 JUL 2021,1027
13,10:06.22,Chloe SCRIMGEOUR,,USA,3,,"Renton Memorial Stadium, Seattle, WA (USA)",02 JUL 2021,1027
14,10:12.16,Lily CRIDGE,,USA,4,,"Renton Memorial Stadium, Seattle, WA (USA)",02 JUL 2021,1009
15,10:13.73,Elisa PALMERO,10 JUL 1999,ITA,1,,"Centro Sportivo, Arco (ITA)",28 AUG 2021,1004
16,10:14.09,Sophia KENNEDY,11 JAN 2005,USA,5,,"Renton Memorial Stadium, Seattle, WA (USA)",02 JUL 2021,1003
17,10:18.76,Ava PAREKH,,USA,6,,"Renton Memorial Stadium, Seattle, WA (USA)",02 JUL 2021,990
18,10:19.58,Julia DAVID-SMITH,24 JAN 2003,USA,7,,"Renton Memorial Stadium, Seattle, WA (USA)",02 JUL 2021,987
19,10:19.95,Lucca FULKERSON,,USA,1f2,,"Hayward Field, Eugene, OR (USA)",03 JUL 2021,986
20,10:20.11,Sophie ATKINSON,04 APR 2003,USA,8,,"Renton Memorial Stadium, Seattle, WA (USA)",02 JUL 2021,986
21,10:23.08,Audrey DADAMIO,,USA,1,,"Doug Shaw Memorial Stadium, Myrtle Beach, SC (USA)",25 MAR 2021,977
22,10:23.30,Lauren PING,,USA,9,,"Renton Memorial Stadium, Seattle, WA (USA)",02 JUL 2021,976
23,10:26.73,Michela MORETTON,04 OCT 2000,ITA,2,,"Centro Sportivo, Arco (ITA)",28 AUG 2021,967
